start,content
2.0,ntelliPaat
4.0,ntelliPaat WWW.INTELLIPAAT.COM
6.0,Variable in Python
12.0,ntelliPaat Python: Variable python IM powered
14.0,ntelliPaat How do you think the value is assigned? Python: Variable python TM powered
16.0,ntelliPaat How do you think the value is assigned? Python: Assigning value Variable Multiple assignment TM Uounho powered
30.0,ntelliPaat Assi Python: Variable Assigning value Multiple assignment
32.0,ntelliPaat Assigning single value to a variable.. Python: Variable Assigning value Multiple assignment
36.0,ntelliPaat Assigning single value to a variable... Input Python: >>>a=10 >>>name =Victor >>>salary= 20 Variable Assigning value Multiple assignment
40.0,ntelliPaat Assigning single value to a variable... Input Python: >>>a=10 >>>name = 'Victor' >>>salary = 2000.23 Variable >>>print (a) >>>print (name) >>>print (salary) Assigning value Multiple assignment
84.0,ODownloads-Anaconda X CHome Untitled10 Y X C 88 |localhost:8889/notebooks/Untitled10.ipynb GSearch with Google Search Flipkart Jabong.com a Amazonin AliExpress ch Color Hex Color Code gmail CJupyterUntitled10 Last Checkpoint 4 minutes ago (autosaved) Logout File Edit View Insert Cell Kemel Widgets Help Trusted Python3 Run Q C Code In [1]:1+2 Out[1]:3 88
110.0,"ODownloads - Anaconda xICHome Untitled10 X X C 88 localhost:8889/notebooks/Untitled10.ipynb GSearch with Google Search D Flipkart Jabong.com a Amazonin AliExpress ch Color Hex Color Code gmail JupyterUntitled10 Last Checkpoint 5 minutes ago (unsaved changes) Logout File Edit View Insert Cell Kemel Widgets Help Trusted Python3 off Run Q Code In [1]:1+2 Out[1]:3 In [3]a=10 - 88 inta=10 File ""<ipython-input-3-709b66da3eda>,line 2 inta=10 SyntaxError: invalid syntax"
214.0,"ODownloads-Anaconda X I0Home X Untitled10 X X ) C 88 |localhost:8889/notebooks/Untitled10.ipynb GSearch with Google Search D Flipkart Jabong.com a Amazon.in AliExpress ch Color Hex Color Code gmail JupyterUntitled10 Last Checkpoint 7 minutes ago (unsaved changes) Logout File Edit View Insert Cell Kemel Widgets Help Trusted Python3 off Run C Q Code In1]1+2 Out[1]3 In [3] a=10 88 inta=10 File <ipython-input-3-709b66da3eda>,line 2 int a=10 SyntaxError: invalid syntax In [5]name=John salary=200023.234 In [6] a=10 b=10 =10 b=c=10I x=20 y=30 Z=40 xyz=20304"
