start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 20: Fitness Tracker Object Oriented. Programming Example Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,Some content in this video is not covered under our Creative Commons license See the closing credits for more information. MIT OCW c BYNCSA
18.0,FITNESS TRACKER OBJECT ORIENTED PROGRAMMING EXAMPLE (download slides and .py files to follow along) Workout class 6.100L Lecture 20 Ana Bell Improved Workot class Better get-calores methc Using datetime objects RunWorkoct class P --str--from parent e gel_calories of parent method not in Parent
20.0,FITNESS TRACKER OBJECT ORIENTED PROGRAMMING EXAMPLE (download slides and .py files to follow along) Workout class 6.100L Lecture 20 Improved Wakot class Ana Bell Better get-calories meheq Using daktime ohjeds RunWorkot class om parent Overrde gel S of Parent Acd -eq- not in Parent Terrasco
22.0,FITNESS TRACKER OBJECT ORIENTED PROGRAMMING EXAMPLE (download slides and.py files to follow along) Workout class 6.100L Lecture 20 Ana Bell Improved Wokout class Better gl-calores mehed Using datetime objects RunWorkoct class PRcusing-str--fr sarent Oyerrde gel_calor parent Acd-eq__meth Parent Terrasco
24.0,FITNESS TRACKER OBJECT ORIENTED PROGRAMMING EXAMPLE (download slides and.py files to follow along) Workout class 6.100L Lecture 20 Ana Bell Impraved Wokout class Better get-calories method Using datetime objects RunWorkoct class Rcusing from parent Overrdr calories of parent Add Lhod not in Parent Terrasco
28.0,EITNESS TRACKER OBJECT ORIENTED PROGRAMMING EXAMPLE (download slides and.py files to follow along) class 6.100LLecture20 Ana Bell Improved Wakout class Better gl-calores methed Using daktime objects RunWorkout class RcUSing from parent Overde ories of parent Acd nod not in Parent Terrasco
30.0,OBJECT ORIENTED PROGRAMMING EXAMPLE (downoedsldesand.orflesttlosaorg D Norkot cass 6.10llecre200 Ana Bell Improved Wakout class Beter gt.calors metned Using dktime ohjects RunWorkout class RReusing-str parent Oerrde ge_ parent of in Parent
32.0,RunWorkoct class ReUsing pong wey Oyerride Add thea noT
34.0,KunWorkoutclass ReUsin str_-from parent Over Ado method not in paren
36.0,wnWorkoCt ReUSin str_-from parent Over _calories of Daren Acd mer
38.0,FITNESS TRACKER Talking: Ana Bell OBJECT ORIENTED PROGRAMMING EXAMPLE (download slides and .py files to follow along) 6.100L Lecture 20 Ana Bell
44.0,NOnWOTKOCT ReUSing parent Override ge_ca of f parent
46.0,7 Reusing parent Override gel_c of f parent Acd -b
48.0,KunWorkout S50 7 Reusing +r_- from parent Overrid Calories of parent Aclod methd not in parent
50.0,NonNorkoct ReUSing from parent Override Acd nethod not in parrnt
52.0,ADnWOYKOCT tr__from parent Reusng Overric Acld method not in parenT -
54.0,NDnOTKOCT ReUSing -str parent Override gel_calo parent in ParenT
56.0,NonWOTNOCT Reusing parent Override gel_cal f parent
62.0,7 Reusing from parent Override Acd
64.0,NONTWIOTNOCI Reusing from parent Overr _calories Acd poutaw inparent
66.0,ReUsng from parent Overrir Add
68.0,7 Reusing parent Override gel_ca of Aco +
70.0,AunWorkoct ReUsing from parent OverrideG ries of parent Ado
72.0,NnWOrkOCT Reusing-st from parent Overridege ies of parent Acld ba not in parent
74.0,IMPLEMENTING USING THE CLASS VS THE CLASS = Talking: Ana Bell 6.100LLecture20
88.0,IMPLEMENTING USING THE CLASS vs THE CLASS Talking: Ana Bell Two different coding perspectives 6.100L Lecture 20
92.0,IMPLEMENTING USING THE CLASS vs THE CLASS = Talking: Ana Bell Implementing a new object type with a class. Define the class Define data attributes (WHAT IS the object) Define methods HOW TO use the object Two different coding perspectives 6.100L Lecture 20
114.0,IMPLEMENTING USING THE CLASS vs THE CLASS = Talking: Ana Bell Implementing a new Using the new object type in. object type with a class code Define the class Create instances of the Define data attributes object type (WHAT IS the object) .Do operations with them. Define methods (HOW TO use the object) Two different coding perspectives 6.100L Lecture 20
130.0,IMPLEMENTING USING THE CLASS vs THE CLASS = Talking: Ana Bell Implementing a new Using the new object type in object type with a class code Define the class . Create instances of the Define data attributes object type (WHAT IS the object) . Do operations with them Define methods (HOW TO use the object) Class abstractly captures common properties and behaviors Two different coding perspectives 6.100L Lecture 20
140.0,IMPLEMENTING USING THE CLASS VS THE CLASS Implementing a new Using the new object type in object type with a class code Define the class Create instances of the Define data attributes object type (WHAT IS the object) Do operations with them Define methods Workout class (HOW TO use the object) Improved Workot cluss Instances have specific Class abstractly captures Belter gel-caloros meH values for attributes common properties and dutetime objeuts behaviors RunWorkot class wo different coding perspectives Rcusing stY fon parent Derrde gel_calores of paront Ad q-methodnot in Parent :
148.0,IMPLEMENTING USING THECLASS VS THE CLASS Implementing a new Using thenew object type in oben tvpe with adlas code Den ne das Create instances of the Denine data arnbute olict type (WHATSHEODIROT Do aperations with then Detre mcthads Workout class HOa Touethcnhiel Improved Workout clusg Inslances.have specific Cassabstraciy.saptures BeHter gh-calores meHed values lor artribute Using comman pmpertiesand dutetime obgets benaviur RunWorkoct class wodiflerentcpdina perspectives Reusing trom parent ayerrde gel paront Add q not in Poron
150.0,IMPLEMENTING USING THE CLASS VS THE CLASS Implementing a new Using the new object type in object type with a class code Define the class Create instances of the Define data attributes object type (WHAT IS the object) Do operations with them Define methods Workout class (HOW TO use the object Improved Wokout class Instances have specific Class abstractly captures Better gel.calories mehd values for attributes common properties and Using datetime objets behaviors RunWorkoct class Two different coding perspectives Reusing -Str- parent Derrde ge of Paront Acd not in Paron
152.0,"Thanks to Sam Madden for this OOP example (his slides have been modified) Workout Tracker Example Suppose we are writing a program to track workouts, e.g.,for a smart watch 12:36.10 14 136 1188PM Class .25M Workout Improved Workot class BeHer gt.calorros meHe Usmg datetime objeots RonWorkoct class Reusing Stt.- parent Derde ge_ca paiont - Add qmetho Paront"
154.0,"Thanks to Sam Madden for this OOP example (his slides have been modified) Workout Tracker Example Suppose we are writing a program to track workouts, e.g.for a smart watch 12:36.10 14 136 1188PM class 1.25MI Workout Improved Workot cass Beher gt.calorros meHed Usng - datetime objeots RonWorkoct class Reusing -stt.- tlam Derrde gel_calorps A Puyta-by Paron B:"
156.0,"Thanks to Sam Madden for this OOp Workout Tracker Example example (his slides have been modified) = Talking: Ana Belld Suppose we are writing a program to track workouts. e.g., for a smart watch 10:09 Frack Run 12:36.10 Triathlon 114 ACTIVE Virtual Ror 136TATAL 118BPM 1.25MI 6.100L Lecture 20"
170.0,RunWorkot class Reusing --str_ n parent Override ge_ of Parent ea
172.0,Using datetime objecs RunWorkot class 7 Reusing--str_-f parent Override gel _cale Parent Aco Parenta
174.0,boyay Using datetime objects RunWorkot class Reusing --str_-from parent Override gel _calories of par Acldl Peq-- method not in
176.0,Improved Workot class Better get-calories poytaw - Using datetime objects RunWorkot class Reusing --str W parent Override ged 5 of parent t in parent
178.0,Improved Workot class Better get-calories meth-q Usingdatetime objets RunWorkot class Reusing ent Dverride gel_calories arent Acd eq--metho Parent
180.0,Improved Workot class Better get-calories metheq Using datetime objects RunWorkot class Reusing --str om parent Override gel 5 of parent Add -bx not in parent
186.0,Improved Workot class Better get-calories methoq Using datetime objects RunWorkot class P Reusing Override gel_calories of Acd eq--method not
190.0,Improved Workot class Better get-calories metheq Usingdatetime objects RunWorkot class Reusing -str parent Overric of parent Add in parent
198.0,SNOTKOOT Improved Workot class Better get-calories mehheq Usingdatetime objects RunWorkot class Reusing--str__from ent Override gel_calories >arent Acd eq--metho Darrnt
200.0,OPKOO Improved Workot class Better get-calories metheq Using dattime objecs RunWorkot class Reusing from parent Override Mlories of parent Acd ethod not in parent
202.0,"Thanks to Sam Madden for this OOP Workout Tracker Example example (his slides have been modified) = Talking: Ana Bell Suppose we are writing a program to track workouts. e.g., for a smart watch 10:09 Track Run 12:36.10 Triathlon 114ACTIVE VirtalR 136TATAL 118BPM 1.25MI Outdoor Cycle Open Water Swim Outdoor Run OPEN GOAL OPEN GOAL OPEN GOAL Different kinds of workouts 6.100LLecture 20"
210.0,"Fitness Tracker .. Outdoor Cycle Open Water Swim OPEN GOAL OPEN GOAL Outdoor Run OPEN GOAL = Talking: Ana Bell Different types of workouts Workouts Sat,Sep25 5 <Workouts Wed,Aug 11 Outdoor Run Open Water Swim Open Goal Open Goal 8:52 AM - 9:24 AM Mixed (44yd) Newton Breaststroke (0.10mi) Freestyle (0.71mi) Total Time Distance 4:39 PM-5:37PM 0:31:13 3.91MI Moultonborough Active Calories Total Calories Total Time Distance 452CAL 505CAL 0:57:39 0.84MI Elevation Gain Elevation Active Calories Total Calories 135FT 94TMAX FTM 471CAL 569CAL Avg.Cadence Avg.Heart Rate Avg. Heart Rate 168SPM 1658PM 97BPM Avg.Pace /100 YD /50 YD /25 YD 7'58""/MI Avg.Pace/Strokes Splits 3'52""/41 Heart Rate Splits Heart Rate 9:03AM 9:14-AM 6.100LLecture 20"
228.0,"Fitness Tracker Outdoor Cycle Open Water Swim DPEN GOAL Outdoor Ron OPENGOAL OPEN GOAL Taungr Ana Bell Different types of workouts Workouts Sat,Sep 25 Workouts Wed, Aug 11 Common properties: OutdoorRun Open Water Swim Open Goal Icon Kind Open Goal 852AM-924AM Date Start Time Mixed (44yd) End Time Calories Breaststroke (0.10mi) Freestyle (0.71mi Total Time Distance Heart Rate Distance 031:13 3.91MI Active Calories Total Calories Total Time Distance 0:57:39 0.84MI Elevation Gain Elevation ActiveCalories otal Calories 135FT 194FTMA Avg.Cadence Avg.Heart Rate Avg.Heart Rate 168SPM SAPM 7OPM Avg.Pace H00YD /50 YD 125 YD 7'58'/MI Avg.Pace/Strokes Splits 3'52""/41 Heart Rate Splits Heart Rate 0.100L Lecture 20"
232.0,"Fitness Tracker .. ... Outdoor Cycle Open Water Swim OPEN GOAL Outdoor Run OPEN GOAIR OPEN GOAL Talking: Ana Bell Different types of workouts Workouts Sat,Sep 25 Workouts Wed, Aug 11 Common properties: Outdoor Run Open Water Swim Open Goal Icon Kind Open.Goal 8:52AM-924 AM Date Start Time Mixed (44yd Newtor End Time Calories Breaststroke (0.10mi) Heart Rate Distance Freestyle(0.71mi Total Time Distance 0:31:13 3.91MI Active Calories Total Calories Total Time Distance 152CAL 505CA 0:57:39 0.84MI Elevation Gain Elevation ActiveCalories otalCalories 135FT A194FTMA ICAL 569CAL Avg.Cadence Avg. Heart Rate Avg.Heart Rate 168SPM 658PM 97BPM Avg.Pace /100YD /50-YD /25 YD 7'58'/MI Avg.Pace/Strokes Splits 352'/41 Heart Rate Splits Heart Rate 6.100L Lecture 20"
242.0,"Fitness Tracker "" F Outdoor Cycle Open Water Swim OPEN GOAL OPEN GOAL Outdoor Run OPEN GOAL = Talking: Ana Bell Different types of workouts Workouts Sat,Sep25 Workouts Wed, Aug 11 L Common properties: Outdoor Run Open Water Swim Open Goal Icon Kind Open Goal 8:52AM-9:24 AM Date e Start Time Mixed 44yd Newton End Time Calories Breaststroke (0.10mi) Heart Rate Distance Freestyle (0.71mi) Total Time Distance 39 PM-5:37PM 0:31:13 3.91MI Moultonborough Active Calories Total Calories Total Time Distance 452CAL 505CAL 0:57:39 0.84MI Elevation Gain Elevation Active Calories Total Calories 135FT 194FTMAX 471CAL 569CAL Avg.Cadence Avg. Heart Rate Avg.Heart Rate 168SPM 165BPM 97BPM Avg.Pace /100 YD /50 YD /25YD 7'58""/MI Avg.Pace/Strokes Splits 3'52/41 Heart Rate Splits Heart Rate 9:03-AM 14 AM 6.100L Lecture 20"
258.0,Reusing --str parent Override ge_c of parent Aco eq--me
260.0,IOOTKOCT from parent eusing -str verride ge 4od eq od not in parent
262.0,IOTNOOT eUsing 5 parent verride gel_ca ofparent tolol eq--me not in parent
264.0,from parent thod not in par
266.0,parent Parent 52AM 9:03AM of
268.0,parent 5ZAM 9:03AM of parent ot inpar
270.0,"Fitness Tracker Outdoor Cycle Open water Swim OPEN GOAL Qutdoor Ron OPEN GOAL OPEN GOAL Different types of workouts Workouts SatSep25 Workouts Wed,Aug 11 Common properties: OutdoorRun Open WaterSwim Open Goal Icon Kind Opan Goal 52A-A Date Start Time Mixed 44yd End Time Calories Breaststroke (0.10mi) Distance Freestyle (0.71m) Total Time Distance Heart Rate 537PA 031:13 3.91MI Active Calories Total Calories TotalTime Distance 0:57:39 0.84M Swimming Specific: Elevation Galn Elevatiot Active Calories Swimming Pace Total Calories 135FT 194FTMAX Stroke Type Avg.Cadence Avg.Heart Rate 100 yd Splits Avg.Heart Rate 168SPM Avg.Pace CA.OO: /50 YD 125YD 7'58""/MI Avg.Pace/Strokes Splits 3'52""/41 Heart Rate Splits Heart Rate .l Lecture 20"
