start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 15: Recursion Ana Bell MIT OCW ocw.mit.edu BYNCSA"
12.0,Some content in this video is not covered under our Creative Commons license See the closing credits for more information. MIT OCW c BYNCSA
18.0,RECURSION (download slides and .py files to follow along) 6.100L Lecture 15 Ana Bell
28.0,5
80.0,RECOTST Idownloas shdes and py files to follow along) 6 100L Llecture 15 Ana Bell
100.0,"upoate based on a set of rules, on each iterat."
102.0,"ITERATIVE ALGORITHMS SO FAR Looping constructs (while and for loops) lead to iterative algorithms Can capture computation in a set of state variables that update, based on a set of rules, on each iteration through loop 6.100L Lecture 15"
154.0,"ITERATIVE ALGORITHMS SO FAR Looping constructs (while and for loops) lead to iterative algorithms Can capture computation in a set of state variables that update, based on a set of rules, on each iteration through loop What is changing each time through loop, and how? How do I keep track of number of times through loop? 6.100LLecture 15"
182.0,"MULTIPLICATION The * operator does this for us Make a function def mult(a, b): return a*b 6.100L Lecture 15"
244.0,"MULTIPLICATION THINK in TERMS of ITERATION Can you make this iterative?. Define a*bas a+a+a+a... b times Write a function def mult(a, b): total = 0 for n in range(b) : total += a return total 6.100LLecture 15"
298.0,MULTIPLICATION - ANOTHER ITERATIVE SOLUTION a+a+a+a+.+a Capture state by An iteration numberistarts at b i i-1 and stop when 0 A current value of computation (result) starts at 0 result result + a 6.100L Lecture 15
306.0,"MULTIPLICATION THINK in TERMS of ITERATION Can you make this iterative?. Define a*bas a+a+a+a... b times Write a function def mult(a, b): total = 0 for n in range(b): total += a return total 6.100L Lecture 15"
308.0,MULTIPLICATION - ANOTHER ITERATIVE SOLUTION a+a+a+a+.+a Capture state by Aniteration number (istarts at b i i-1 and stop when0 A current value of computation(result) starts at 0 result result + a 6.100LLecture 15
316.0,"MULTIPLICATION - ANOTHER ITERATIVE SOLUTION ""multiply a * b"" is equivalent to ""add b copies of a"". a+a+a+a+.+a Capture state by An iteration number(istarts at b i i-1 and stopwhen0 A current value of computation (resu1t) starts at 0 result result + a 6.100LLecture 15"
