start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 25: Plotting Ana Bell mit OCW ocw.mit.edu BY NC SA"
12.0,PLOTTING (download slides and .py files to follow along) 6.100LLecture25 Ana Bell
42.0,"WHY PLOTTING? Sooner or later, everyane needs to produce plots Helps us visualize data to see trends, pose computational questions to probe If you join 6.1008,you will make extensive use of them For those of you leaving us after next week, this is a valuable way to visualize data Example of leveraging an existing library, rather than writing procedures from scratch Python provides libraries for Plotting Numerical computation Stochastic computation Many others"
92.0,MATPLOTLIB alking: Ana Bell Can import library into computing environment import matplotlib.pyplot as plt Allows code to reference library procedures as. plt.<processName> Provides access to existing set of graphing/plotting. procedures Today will just show some simple examples; lots of additional information available in documentation associated with matplotlib. Will see many other examples and details of these ideas if you take 6.100B 6.100L Lecture 25
182.0,o Wil you
224.0,"A SIMPLE EXAMPLE Talking: Ana Bell Idea - create different functions of a variable (n), and visualize their differences nVals = [] linear = [] quadratic = [] cubic = [] exponential = [] for n in range(0, 30): nVa1s.append(n) 1inear.append(n) quadratic.append(n**2) cubic.append(n**3) exponentia1.append(1.5**n) 6.100L Lecture 25"
302.0,"quadratic cubic = [] exponential = [] for n in range0, 30: nVals.append(n) List of vali linear.append(n) quadratic.append(n**2) Lists of values of cubic.append(n**3) functions ofvariab! exponential.append(1.5**"
304.0,"quadratic=[] cubic = [] exponential = [] for n in range(0, 30): nVals.append(n) List of values of va linear.append(n) Lists of values of cubic.append(n**3) exponentia1.append(1.5**n) 6.100L Lecture 25"
306.0,"quadratic = cubic = [] exponential = [] for n in range(0, 30):. nVals.append(n) List of values of linear.append(n) quadratic.append(n**2) Lists of values of cubic.append(n**3) functions of variable exponentia1.append(1.5**n) 6.100L Lecture 25"
312.0,"quadratic = cubic = [] exponential = [] for n in range(0, 30): nVals.append(n) List linear.append(n) quadratic.append(n** Lists of values of cubic.append(n**3) functions of variable exponential.append(1 6.100LLecture 25"
326.0,"A SIMPLE EXAMPLE Talking: Ana Bell Idea - create different functions of a variable (n), and visualize their differences nVals = [] linear = [] quadratic = [] cubic = [] exponential = [] for n in range(0, 30): nVals.append(n) List of values of variable 1inear.append(n) quadratic.append(n**2) Lists of values of cubic.append(n**3) functions of variable exponentia1.append(1.5**n) 6.100L Lecture 25"
330.0,"A SIMPLE EXAMPLE Idea - create different functions of a variable (n), and visualize their differences nVa1s = [] linear = [] quadratic.= [] cubic=[] exponential = [] for n in range0,30 nVals.append(n) List of values of variable linear.append(n) quadratic.append(n**2) Lists of values of cubic.append(n**3) functions of variable exponential.append(1.5**n) 6.100L Lecture 25"
