start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 22: Big Oh and Theta. Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,BIG OH and THETA (download slides and .py files to follow along) 6.100L Lecture 22 Ana Bell
74.0,1
84.0,TIMII
86.0,Talking: Ana Bell TIMING 6.100L Lecture 22
92.0,"TIMING A PROGRAM Use time module Importing means import time bringing collection of functions into def convert to km(m):. your own file return m * 1.609 Start clock t0 = time.perf counter() Call function convert to km(100000) Stop clock dt = time.perf counter( - t0 print(""t ="", dt, ""s,"") 6.100L Lecture 22"
202.0,"TIMING A PROGRAM ralking: Ana Bell Use time module. Importing means import time More accurate bringing collection. timer, of functions into. def convert to km(m) : when used to your own file. return m * 1.609 get a time diff Start clock to time.perf counter() Call function convert to km(100000) Stop clock dt =time.perf counter( - t0 print(""t ="", dt,""s,"") 6.100L Lecture 22"
206.0,"EXAMPLE:convert to km, compound ralking: Ana Bell def convert to kmm: return m * 1.609 def compound(invest, interest, n months): total=0 for i in range(n months): total = total * interest + invest return total How long does it take to compute these functions? Does the time depend on the input parameters? Are the times noticeably different for these two functions? 6.100LLecture 22"
220.0,"EXAMPLE:convert to km, compound = def convert to km(m): return m * 1.609 def compound(invest, interest, n months): total= for i in range(n months): return total How long does it take to compute these functions? Does the time depend on the input parameters?. Are the times noticeably different for these two functions? 100LLe22"
228.0,"EXAMPLE: convert to km, compound Talking: Ana Bell def convert to kmm): return m * 1.609 def compound(invest, interest, n months): total=0 for i in range(n months): total = total * interest + invest return total How long does it take to compute these functions? Does the time depend on the input parameters? Are the times noticeably different for these two functions? 6.100L Lecture 22"
236.0,"EXAMPL rtto km): 1.609 spoundlinvest, Ante tal=0 in cangencn otal -cotal Eotal"
238.0,"SXAMPLI tco km: 1.609 poundlinvest, Ante Li cangen nt tal -toral tatal ons finosltastc come te junsEom Are.tne tmcunaydieasnt f 1"
240.0,"EXAMPLE: convert to km, compound def convert to km(m): return m *1.609 def compound(invest, interest, n months): total=0 for i in range(n months): total = total * interest +invest return total How long does it take to compute these functions? Does the time depend on the input parameters? Are the times noticeably different for these two functions? 6100L Lecre22"
