start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 9: Lambda Functions, Tuples, and Lists. Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,LAMBDA FUNCTIONS TUPLES and LISTS (download slides and .py files to follow along 6.100L Lecture 9 Ana Bell
16.0,TOPLLSdliC (download slides and py files to 6.100L Lecture 9 Ana Bell
18.0,LAMBDA FUNCTIONS TUPLES and LISTS (download slides and .py files to follow along. 6.100L Lecture 9 Ana Bell
40.0,"FROM LAST TIME def apply(criteria,n) : criteria: function that takes in a number and returns a bool *n: an int Returns how many ints from 0 to n (inclusive) match the count=0 for i in range(n+l): if criteria(i): count += 1 return count def is even(x): return x%2==0 print(apply(is even,10)) 6.100L Lecture9"
50.0,"FROM LAST TIME def apply(criteria,n): critezie: nction that takes in a number and returns a bool *n an im Returns.hnw many ints from 0 to n (inclusive) match the criteial e. return True when run with criteria) count =0 for i in range(n+l): if criteria(i): count 1 return count def is evenx): return x%2==0 print(apply(is even,l0)) 6.100L Lecture 9"
52.0,"EROM LAST TIME def apply(criteria,n) : A criteria: function that takes in a number and returns a bool n: an int eturns how many ints from O to n (inclusive) match the eriai.e return True when run with criteria) count = 0 for i in range(n+l): if criteria(i): count += 1 return count def is even(x): return x%2==0 print(apply(is even,10)) 6.100L Lecture 9"
60.0,"FROM LAST TIME def apply(criteria,n): k criteria: function that takes in a number and returns a bool * n: an int Returns how many ints from 0 to n (inclusive) match the count = 0 for i in range(n+l):. if criteria(i): count += 1 return count def is even(x): return x%2==0 print(apply(is even,10)) 6.100L Lecture 9"
82.0,"EROM LAST TIME def apply(criteria,n): criteria: function an int Ret ns how many IES from O to n inclusive) match the criteria count =0 for i in range(n+l): if criteria(i): count +=1 return count def is evenx: return x%2==0 printapply(is even,10)) 6.100L Lecture9"
84.0,"FROM LAST TIME def apply(criteria,n): criteria: function hat takes in a number and returns a bool n: an int turns how many in from O to n (inclusive) match the ria (i.e. curn True when run with criteria) count =0 for i in range(n+l): if criteria(i): count +=1 return count def is evenx): return x%2==0 print(apply(is even,10)) 6.100L Lecture 9"
86.0,"FROM LAST TIME def apply(criteria,n): reriter ia: function that takes in a number and returns a bool *n:an int Returns now many ints from 0 o n (inclusive) match the criteria Ki.e. return True ien run with criteria) W count =0 for i in range(n+l): if criteria(i): count +=1 return count def is evenx): return x%2==0 print(apply(is even,10)) 6.100L Lecture 9"
88.0,"EROM LAST TIME de apply(criteria,n): criteria: function that takes in a number and returns a bool * n: an int Returns how many ini from O to n (inclusive) match the riteria (i.e. ret rn True when run with criteria) count =0 for gen+1: if criteria(i): count +=1 return count def is even(x): return x%2==0 print(apply(is even,10)) 6.100L Lecture 9"
92.0,"FROM LAST TIME def apply(criteria,n): k criteria: function that takes in a number and returns a bool Returns how many ints from 0 to n (inclusive) match the count = 0 for i in range(n+l):. if criteria(i): count += 1 return count def is even(x): return x%2==0 print(apply(is even,10)) 6.100L Lecture 9"
96.0,"FROM LAST TIME def apply(criteria,n): ceria: n: an int Returns how many from O to n (inclusive) match the criteria (i.e. return True when run with criteria) count = 0 for i in trange(n+1):. if criteria(i): count += 1 return count def is evenx return x%2==0 print(apply(is even,10)) 6.100L Lecture 9"
98.0,"FROM LAST TIME def apply(criteria,n): criteria: function that takes in a number and returns a bool *n:an in Retur how many from O to n (inclusive) match the eria (i.e. retun True when run with criteria) count = 0 for i in range(n+l):. if criteria(i): count += 1 eturn count def is even(x): return x%2==0 print(apply(is even,10)) 6.100L Lecture 9"
104.0,"FROM LAST TIME def apply(criteria,n): criteria: function that takes in a number and returns a bool * n: an int Returns ow many ints f om O to n inclusive) match the critei a (i.e. return True count =0 for in range(n+1): f criteria(i): count += 1 returr count def is evenx) return x%2= print(apply(is even,10)) 6.100LLecture 9"
106.0,"FROM LAST TIME def apply(criteria,n): criteria: func that takes in a number and returns a bool *n: an int Returns many ints from to n (inclusive) match the criteria count = 0 forii range(n+1: if Criteria(i)? count += 1 return count def is even(x): return x%2==0 print(apply(is even,10)) 6.100L Lecture 9"
108.0,"FROM LAST TIME def apply(criteria,n): criteria: function that takes in a number and returns a bool *n:an Retur Ds how many int.. from O to n (inclusive) match the cr eria (i.e. return count = 0 for i in range(n+l): if criteria(i): count += 1 ret turn count def is evenx): return X print(apply(is even,l0)) 6.100LLecture 9"
