start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 11: Aliasing and Cloning. Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,Eil
20.0,"ALIASING, CLONING (download slides and .py files to follow along. 6.100L Lecture 11 Ana Bell"
56.0,"MAKING A COPY OF THE LIST Can make a copy of a list object by duplicating all elements (top-level) into a new list object Lcopy = L[:] Equivalent to looping over L and appending each element to Lcopy This does not make a copy of elements that are lists (will see how to do this at the end of this lecture Loriginal = [4,5,6] Lnew = Loriginal[:] 6.100L Lecture 11"
170.0,"YOU TRY IT! Write a function that meets the specification. Hint. Make a copy to save the elements. The use L.clear() to. empty out the list and repopulate it with the ones you're. keeping. def remove all(L, e) : I II Lisa list Returns None I1 I L = [1,2,2,2] remove all(L, 2) print(L) # prints [1] 6.100L Lecture 11"
218.0,"YOU TRY IT! Write a function that meets the specification. Hint. Make a copy to save the elements. The use L.clear() to. empty out the list and repopulate it with the ones you're keeping. def remove all(L, e): V Lisalist Mutates L to remove all elements in L that are equal to e Returns None L=[1,2,2,2] remove all(L,2) print(L) #prints [1]"
226.0,"YOU TRY IT! Write a function that meets the specification. Hint. Make a copy to save the elements. The use L.clear() to empty out the list and repopulate it with the ones you're keeping. def remove_all(L, ): Lisa list Returns None L=[1,2,2,2] remove all(L, 2) print(L) # prints [1] 6.100L Lecture 11"
236.0,8
246.0,elerents n I that are egual zo e AE 8
248.0,"YOU TRY IT! Write a function that meets the specification. Hint. Make a copy to save the elements. The use L.clear() to empty out the list and repopulate it with the ones you're keeping. def remove all(L, e) : Lisalist Returns None L=[1,2,2,2] remove all(L, 2) print(L) # prints [1] 6.100L Lecture 11"
278.0,"YOU TRY IT! Write a function that meets the specification Hint. Make a copy to save the elements. The use L.clear() to. empty out the list and repopulate it with the ones you're keeping def remove all(L, e): 11 11 1 Lisalist Returns None L=[122,2] remove all(, 2) print(L) # prints [1]"
286.0,81 111
290.0,"ile C:)Users\anabe(Documents(MIT,6.0001L\fa22)Lectures)/ec11.py Object lec11.py 21 Console 1/A 22 \6.00e1L\fa22\Lectures 23 ############ YOUTRY IT ############### \lec12 wordle.py1ine 600 in 24 # This one is similar to remove elem from Lec1e except that <module> 25 # returns a new List and this one mutates the parameter L a p1ay_game() 26 def remove_all(L, e): 27 HII File ""C:\Users\anabe\Documents\MI7 28 Lis a list \6.0001L\fa22\Lectures 29 Mutates L to remove all elements in L that are equal to \lec12_wordle.py"", line 585, in. 30 Returns None. play_game 31 result = make_wordle(guess, 32 # your codehere -I secret) 33 34 File""C:\Users\anabe\Documents\MIT 35 #Lin=[12,2,2] 6.0001L\fa22\Lectures 36 # remove_all(Lin, 2) \lec12_wordle.py""line 547in 37 # print(Lin) #prints [1] make_wordle 38 for i in range(len(secret)): 39 #Lin=[12,2,2] 40 # remove_all(Lin, 1) TypeError: object of type 'function'. 41 # print(Lin) has no len() #prints[22,2] 42 43 #Lin=[12,2,27 IPython console LSP Python:ready conda (Python 3.8.5) Line 32, Col 21 Mem 54 + x"
294.0,111
298.0,81 111
300.0,g1 111
304.0,E1 111
306.0,"EC C:\Users\anabe(Docu ec11.py* Objec 21 Console 1/A 22 \6.0001L\fa22\Lectures 23 ############ YOU TRY IT ############### \lec12_wordle.py 1ine 600 in 24 # This one is similar to remove elem from lec10 except that <module> 25 # returns a new list and this one mutates the parameter L (a p1ay_game() 26 def remove_all(L, e): 27 File ""C:\Users\anabe\Documents\MIT 28 Lis a list \6.0ee1LAfa22\Lectures 29 Mutates L to remove all elements in L that are equal to \lec12_wordle.py"", line 585, in 30 Returns None. play_game 31 result = make_wordle(guess, 32 # your code here. secret) 33 # make a copy I 34 File""C:\Users\anabe\Documents\MIT 35 \6.0001L\fa22\Lectures 36 # clear the list \lec12_wordle.py""line 547in 37 make_wordle 38 # add back elements that do not egual e for i in range(len(secret)): 39 40 TypeError: object of type 'function'. 41 has no len() #Lin=[1,2,2,2] 42 # remove_all(Lin, 2) 43 # print(Lin) # prints [17 IPython console conda Python 3.8.5 Line 34, Col 5 ASCHE Mem 54"
310.0,"Edit Search Sourge Bun Debug Cgnsoles Projects Iools View Help ments\MIT\6.0001L\fa22(Lectures\/lec11.p) ec11.py* 21 22 \6.0001L\fa22\Lectures 23 ############ YOU TRY IT ############### \lec12 wordle.py 1ine 600 in 24 # This one is similar to remove elem from lec1e except that <module> 25 # returns a new list and this one mutates the parameter L a p1ay_game() 26 def remove_all(L, e): 27 File ""C:\Users\anabe\Documents\MIT 28 Lis a list 16.0001L\fa22\Lectures 29 Mutates L to remove all elements in L that are equal to \lec12_wordle.py"", line 585, in. 30 Returns None. play_game 31 11 result = make_wordle(guess, 32 # your code here secret) 33 # make a copy I + 34 Lnew = File ""c:\Users\anabe\Documents\MIT 35 6.0001L\fa22\Lectures 36 # clear the list \1ec12_wordle.py""1ine 547,in 37 make wordle 38 # add back elements that do not equal e for i in range(len(secret)): 39 40 TypeError: object of type 'function 41 has no len() #Lin=[122,2] 42 # remove_all(Lin, 2) 43 # print(Lin) # prints [1] IPython console LSP Python:ready Line 34, Col 12 ASCEI Mem 54 +"
352.0,11
