start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python 6.100L, Fall 2022 Lecture 21: Timing Programs and Counting Operations Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,TIMING PROGRAMS COUNTING OPERATIONS (download slides and.py files to follow along) 6.100L Lecture 21 Ana Bell
28.0,COUNTING OPERATIONS download slides and.py fles to foow aorg 6.100LLecure21 Ana tell
46.0,Talking: Ar TIMING PROGRAMS COUNTING OPERATIONS (download slides and .py files to follow along. 6.100L Lecture 21 Ana Bell
52.0,"WRITING EEEICIENT PROGRAMS So far, we have emphasized correctness. It is the first thing to worry about! But sometimes that is not enough Problems can be very complex But data sets can be very large: in 2014 Google served 30,000,000,000,000 pages covering 100,000,000GB of data 6.100L Lecture 21"
98.0,"very large: i Google serv 30,000,000 pages cove 100,000,00 of data"
104.0,"Dotudce very large:in 20 Google served 30,000,000,000 pages covering 100,000,000GE of data"
112.0,"Batadt very large Google se 30,000,00 pagesco 100,000, of data"
122.0,Think Fil Challenges A progra You can algorith Want to se of more a
124.0,EFFICIENCY IS IMPORTANT Separate time and space efficiency of a program Tradeoff between them: can use up a bit more memory to store values for quicker lookup later Think Fibonacci recursive vs. Fibonacci with memoization Challenges in understanding efficiency A program can be implemented in many different ways You can solve a problem using only a handful of different algorithms Want to separate choice of implementation from choice of more abstract algorithm 6.100L Lecture 21
160.0,Think Fibonacci recursive vs Challenges in understandin A program can be implemen You can solve a problem usir algorithms Want to separate choice of of more abstract algorithm 6100L
172.0,EFFICIENCY IS IMPORTANT Separate time and space efficiency of a program. Tradeoff between them: can use up a bit more memory to store values for quicker lookup later Think Fibonacci recursive vs. Fibonacci with memoization. Challenges in understanding efficiency A program can be implemented in many different ways. You can solve a problem using only a handful of different. algorithms Want to separate choice of implementation from choice of more abstract algorithm 6.100LLecture 21
174.0,EFFICIENCY IS IMPORTANT Separate time and space efficiency of a program Tradeoff between them: can use up a bit more memory to store values for quicker lookup later Think Fibonacci recursive vs. Fibonacci with memoization Challenges in understanding efficiency A program can be implemented in many different ways You can solve a problem using only a handful of different algorithms Want to separate choice of implementation from choice of more abstract algorithm 6.100LLecture 21
200.0,EFFICIENCY IS IMPORTANT Separate time and space efficiency of a program Tradeoff between themcan use up a bit more memory to store values for quicker lookup later Think Fibonacci recursive vs.Fibonacci with memoization Challenges in understanding efficiency A program.can be implemented in many different ways You can solve a problem using only a handful of different algorithms Want to separate.choice of implementation from choice of more abstract algorithm
202.0,EFFICIENCY IS IMPORTANT Separate time and space efficiency of a program Tradeoff between them: can use up a bit more memory to store values for quicker lookup later Think Fibonacci recursive vs.Fibonacci with.memoization Challenges in understanding efficiency A.program can be implemented in many different ways You can solve a problem using only a handfui of different algorithms Want to separate choice.of implementation from choice of more abstract algorithm
208.0,EFFICIENCYIS IMPORTANT Separate time and space efficiency of a program Tradeoff between themcan use up a bit more memory to store values for quicker lookup later ThinkFibonaccirecursive vs.Fibonacci withmemoization Challenges in understanding efficiency A program can be implemented in many different ways You can soive a problem using only ahandful of different algorithms Want to separate choice of implementation from choice of more abstract algorithm
216.0,Want to separat of more abstract
230.0,Want of mo
234.0,EFFICIENCY IS IMPORTANT Separate time and space efficiency of a program Tradeoff between them: can use up a bit more memory to store values for quicker lookup later Think Fibonacci recursive vs. Fibonacci with memoization Challenges in understanding efficiency A program can be implemented in many different ways You can solve a problem using only a handful of different algorithms Want to separate choice of implementation from choice of more abstract algorithm. 6.100L Lecture 21
276.0,EFFICIENCYIS IMPORTANT Separate time and space efficiency of a program Tradeoff between themcan use up a bit more memory to store values for quicker lookup later Think Fibonacc cecursivevs.Eibonacc withmemoization Challenges in understandingefficiency A program can be implemented in many different ways You can.solve a problem using only a handfulof different algorithms Want to separate choice.of implementation trom choice of more abstract algorithm
278.0,EFEICIENCY IS IMPORTANT Separate time and space efficiency of a program Tradeoff between them: can use up a bit more memory to store values for quicker lookup later Think Fibonacci recursive vs. Fibonacci with memoization Challenges in understanding efficiency A program can be implemented in many different ways You can solve a problem using only a handful of different algorithms Want to separate choice of implementation from choice of more abstract algorithm 6.100L Lecture 21
290.0,EVALUATING PROGRAMS Measure with a timer Count the operations Abstract notion of order of growth 6.100L Lecture 21
310.0,"ASIDE on MODULES A module is a set of python definitions in a file. Python provides many useful modules: math, plotting/graphing, random sampling for probability, statistical tools, many others. You first need to ""import"" the module into your environment import time import random import dateutil import math Call functions from inside the module using the module's name and dot notation math.sin(math.pi/2) 6.100L Lecture 21"
346.0,"ASIDE on MODULES A module is a set of python definitions in a file. Python provides many useful modules: math, plotting/graphing, random sampling for probability, statistical tools, many others You first need to ""import""the module into your environment import time import random import dateutil import math Call functions from inside the module using the module's name. and dot notation math.sin(math.pi/2) 6.100L Lecture 21"
372.0,ASIDE on MODULES A module is a set of python definitions in a file Python provides many useful modulesmathplotting/graphing.random sampling for probabilitystatistical tools.many others You first need to import the module into your environment import-time import random import math Call functions from inside the module using the module's name and dot notation math.sin(math.pi/2)
374.0,"ASIDE on MODULES A module isa set of python definitions ina.file Python provides many useful modulesmath.plotting/graphing.random sampling for probabtystatisticat.tools,many other You first need to""importthe module into your environment isporttime import randea Import datautil Inport math Call functions from inside the module using the module's name and.dot notation math.sin(math.pi/2)"
376.0,"ASIDE on MODULES A module is.a set of python definitions in a file Python provides many usefut modulesmath.plotting/graphing.random sampling for probabilitystatistical toals,many other You first need to importthe module into your environment import tice import randcm Import dateutil Importmath Call functions from inside the module using the module'sname anddot notation math.sin.(math.px/2)"
378.0,ASIDE on MODULES A module is.a set of python definitions in a file Python provides many usefutmodulesmath.plotting/graphing.random sampling for probabilitystatistical toals.many other You first need to importthe module into your environment import tine importrandom Import dateutil importmath Call functions from inside the module using the module's.name anddot notation math.sin(math.pi/2)
380.0,"ASIDE on MODULES A module is.a set of python definitions ina file Python.provides many.usefulmodules:math,plotting/graphing.random sampling for probabiitystatistical.toolsmany other You first need to import""the module into your environment import.tige import-random Isport math Call functions from inside the module using the module'sname and dot notation math.sin(math.px/2)"
382.0,"ASIDE on MODULES A module is.a set of python.definitions in a file Python.provides many usefulmodules:mathplotting/graphing.random sampling for probabilitystatistical.tools,many others You first need to import"" the module into your environment import.tiee Amport-candom Import math Call functions from inside the module using the modules name and dot notation math.sin(math.px/2)"
384.0,"ASIDE On MODULES A module is a set of python definitions in a file Pythonprovides.many usefulmodules.math,plotting/graphing random sampling for probabilitystatistical tools.many other You first need to import""the module into your environment import.tice import-randon import daceutil Importsath Call functions from inside the module using the module's name anddot notation math.sinlmath.p/21"
388.0,"ASIDE on MODULES A module is a set of python definitions in a file. Python provides many useful modules: math, plotting/graphing, random sampling for probability, statistical tools, many others You first need to ""import"" the module into your environment import time import random import dateutil import math Call functions from inside the module using the module's name and dot notation math.sin(math.pi/2) 6.100L Lecture 21"
390.0,TIMING 6.100L Lecture 21
392.0,"TIMING A PROGRAM Use time module import time Recall that importing means to def c to fc): bring in that class return c*9.0/5 + 32 into your own file tstart = time.time() Start clock c to f(37) Call function dt = time.time() - tstart Stop clock print(dt, ""s,"") 6.100L Lecture 21"
412.0,"Edit Search Source Run Debug Consoles Projects ToolsView Help E C:Users\anabe(Documents)MIT),6.0001L)/fa22(Lectures'lec21.py Source Console Objed lec21.py 4 ## ExAMPLE: timing a program Console 1/A 5 ## In [274]: 6 7 # constant fcn In [274] 8 def c to fc 9 returnc*9.0/5+32 In [274]i 10 11 #Linear fcn --finds 0+1+2+...+x 12 def mysumx In [274]: 13 total =0 for i in range(x+1): In [274]: 14 15 total += i 16 In [274] return total 17 18 # quadratic fcn -- finds n*n inefficiently In [274]: 19 def squaren: 20 In [274]: sqsum =0 21 for i in range(n): 22 for j in range(n): In [274]: 23 sqsum += 1 In [274]: 24 return sqsum 25 26 # helper function to show timing In [275] IPython conso LSP Python:ready conda Python 3.8.5 Line 9, Col 24 + x"
418.0,"Edit Search Source Run Debug Consoles Projects Tools View del E Documents\MIT\6.0001L\fa22\Lectures\lec21.p) lec21.py 4 ## ExAMPLE: timing a program Console 1/A 5 ## 6 In [274]: 7 # constant fcn In [274]: 8 def c to fc 9 return c*9.0/5+ 32 In [274]i 10 11 #Linearfcn --finds 0+1+2+...+x 12 def mysum(x In [274]: 13 total = 0 for i in rangex+1): In [274]: 14 15 total += i In [274]: 16 return total 17 18 In [274]: # guadratic fcn -- finds n*n inefficiently 19 def square(n): 20 In [274] sqsum =0 21 for i in range(n): 22 for j in range(n) In [274]: 23 sqsum += 1 In [274]: 24 return sqsum 25 26 # helper function to show timing In [275] Apeas uoxp/d dST IPython conso conda Python 3.8.5 Line 9,Col 24 31 PM"
420.0,"Edit Search Source Run Debug Consoles Projects Tools View C:)Users)anabe,Documents)MIT\6.0001L)fa22(Lectures)/ec21.py Source Console Object lec21.py 4 ## ExAMPLE: timing a program Console 1/A 5 ## 6 In [274]: 7 # constant fcn In [274]: 8 def cto fc 9 return c*9.0/5+32 In [274]i 10 11 #Linearfcn --finds 0+1+2+...+x 12 def mysumx In [274]: 13 total = 0 for i in range(x+1): In [274]: 14 15 total +=i 16 In [274]: return total 17 18 # quadratic fcn --finds n*n inefficiently In [274]: 19 def square(n): In [274]: 20 sqsum =0 21 for i in range(n): 22 for j in range(n): In [274]: 23 sqsum +=1 In [274]: 24 return sqsum 25 26 # helper function to show timing In [275] Apeas uopd dST IPython console conda Python 3.8.5 Line 9,Col 24 +"
424.0,"ments\MIT\6.0001L\fa22\Lectures)/ec21.py ourceConsole Object lec21.py 4 ## ExAMPLE: timing a program Console 1/A 5 ## In [274]: 6 7 # constant fcn In [274]: 8 def c_to_fc 9 return c*9.0/5 + 32 In [274]: 10 11 #Linear fcn --finds 0+1+2+...+x 12 def mysumx In [274]: 13 total = 0 14 for i in rangex+1): In [274] 15 total += i 16 In [274]: return total 17 18 # quadratic fcn -- finds n*n inefficiently In [274]: 19 def square(n): 20 In [274]: sqsum =0 21 for i in range(n): In [274]: 22 for j in range(n): 23 sqsum +=1 In [274]: 24 return sqsum 25 In [275 26 # helper function to show timing Apeas cop/d dST IPython console conda Python 3.8.5 Line 9,Col 24"
426.0,"Edit Search Source Run Debug Consoles Projects Tools View Help C:\Users(anabe(Documents)MIT\6.0001L\fa22\Lectures)/ec21.py Object lec21.py 4 ## ExAMPLE: timing a program Console 1/A 5 ## In [274]: 6 7 # constant fcn In [274]: 8 def c_to_fc 9 return c*9.0/5+32 In [274]: 10 11 #Linearfcn --finds 0+1+2+...+x 12 def mysumx In [274]: 13 total = 0 14 for i in rangex+1): In [274] 15 total += i 16 return total In [274]: 17 18 # quadratic fcn -- finds n*n inefficiently In [274]: 19 def squaren: 20 In [274] sqsum =0 21 for i in range(n): 22 for j in range(n): In [274]: 23 sqsum +=1 In [274]: 24 return sqsum 25 26 In [275]: # helper function to show timing IPython conso LSP Pythonready conda Python 3.8.5 Line 12, Col 10 + x 3:12 PM"
428.0,"Edit Search Source Run Debug Consoles Projects ToolsView Help DGH WUsers\anab Obje lec21.py 4 ## ExAMPLE: timing a program D Console 1/A 5 ## In [274]: 6 7 # constant fcn In [274]: 8 defctofc 9 return c*9.0/5 +32 In [274]: 10 11 #linear fcn --finds 0+1+2+...+x 12 def mysumx In [274]: 13 total = 0 for i in range(x+1): In [274]: 14 15 total += i 16 In [274] return total 17 18 # quadratic fcn -- finds n*n inefficiently In [274]: 19 def square(n): 20 In [274]: sqsum =0 21 for i in range(n): 22 for j in range(n): In [274]: 23 sqsum += 1 In [274]: 24 return sqsum 25 26 # helper function to show timing In [275] IPython conso conda Python 3.8.5 Line 19, Col 11 dem 82 XE"
434.0,"ile Edit Search Source Run Debug Consoles Projects ToolsView del E Wsersianabe\Doc uments\MIT\6.0001L\fa22\Lectures\/ec21.p) Object lec21.py 4 ## ExAMPLE: timing a program Console 1/A 5 ## In [274]: 6 7 # constant fcn def c_to_fc In [274]: 8 9 return c*9.0/5 +32 In [274]: 10 11 #Linearfcn --finds 0+1+2+...+x 12 def mysum(x In [274]: 13 total = 0 14 for i in rangex+1): In [274]: 15 total += i 16 In [274]: return total 17 18 # quadratic fcn -- finds n*n inefficiently In [274]: 19 def square(n: 20 In [274] sqsum =0 21 for i in range(n): 22 for j in range(n): In [274]: 23 sqsum += 1 In [274]: 24 return sqsum 25 26 # helper function to show timing In [275] IPython conso LSP Python:ready conda Python 3.8.5 Line 8, Col 11 Mem 82 X"
436.0,"Edit Search Source Run Debug Consoles Projects ToolsView Helg D \Users\anabe\Documents\MIT\6.0001L(fa22\Lectures\/ec21.p) lec21.py 4 ## EXAMPLE: timing a program Console 1/A 5 ## 6 In [274] 7 # constant fcn def c_to_fc: I In [274] 8 9 return c*9.0/5 +32 In [274]: 10 11 #Linear fcn -- finds 0+1+2+...+x 12 def mysumx In [274]: 13 total =0 for i in range(x+1): In [274]: 14 15 total +=i 16 In [274] return total 17 18 In [274]: # quadratic fcn -- finds n*n inefficiently 19 def square(n): 20 In [274]: sqsum =0 21 for i in range(n):. 22 for j in range(n): In [274]: 23 sqsum += 1 In [274]: 24 return sqsum 25 26 # helper function to show timing In [275 Apeas uoupd dST IPython conso conda Python 3.8.5 Line 8, Col 15"
438.0,"Edit Search Source Run Debug Consoles Projects ToolsView E C:)Users\anabe(Documents(MIT)6.0001L)\fa22\Lectures)/ec21.py lec21.py Source.Console Object 4 ## ExAMPLE: timing a program Console 1/A 5 ## In [274]: 6 7 # constant fcn In [274]: 8 def c_to_fc 9 return c*9.0/5 +32 In [274]: 10 11 #linear fcn --finds 0+1+2+...+x 12 def mysumx In [274]: 13 total = 0 14 for i in range(x+1): In [274]: 15 total += i 16 In [274]: return total 17 18 # quadratic fcn -- finds n*n inefficiently In [274]: 19 def square(n): 20 In [274]: sqsum =0 21 for i in range(n): 22 for j in range(n): In [274]: 23 sqsum += 1 In [274]: 24 return sqsum 25 # helper function to show timing In [275] 26 IPython console LSP Python ready conda Python 3.8.5) Line 8, Col 15 x"
