start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 3: Iteration Ana Bell mit OCW ocw.mit.edu BY NC SA"
12.0,Some content in this video is not covered under our Creative Commons license See the closing credits for more information MIT OCW c BYNCSA
18.0,TERATION (download slides and .py files to follow along. 6.100L Lecture 3 Ana Bell
30.0,5i
32.0,5
38.0,sii
40.0,5
42.0,Out . Bra
44.0,0 5 . B
46.0,"LAST LECTURE RECAP Strings provide a new data type. They are sequences of characters, the first one at index 0. They can be indexed and sliced. Input Done with the input command. Anything the user inputs is read as a string object! Output Is done with the print command. Only objects that are printed in a .py code file will be visible in the shell. Branching Programs execute code blocks when conditions are true. In an i f-eli f-e1i f... structure, the first condition that is True will be executed Indentation matters in Python!. 6.100L Lecture 3"
76.0,"""Input Done with the input command Anything the user inputs is read as Output Is done with the print command Only objects that are printed in a.p Branching Programs execute code blocks when In anif-elif-elif...structure, be executed Indentation matters in Python 6 10GLLecture"
80.0,"Is done with the print cc Only objects that are print Branching Programs execute code blo ""Inanif-elif-elif...st be executed Indentation matters in Pyt"
90.0,BRANCHING RECAP if <condition>: if <condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif <condition>: elif <condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif <condition>: else: else: < code > < code > <code > < code > < code > <code > - <condition> has a value True or False. Evaluate the first block whose corresponding <condition> is True A block is started by an i f statement. Indentation matters in Python!. 6.100L Lecture 3
92.0,BRANCHING RECAP if <condition>: if <condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif <condition>: elif <condition>: if <condition>: < code > < code > < code > < code > < code > <code > elif <condition>: else: else: < code > < code > <code > < code > < code > <code > <condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an i f statement. Indentation matters in Python!. 6.100L Lecture 3
94.0,BRANCHING RECAP if <condition>: if <condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif <condition>: elif <condition>: if <condition>: <code> < code > < code > < code > < code > < code > elif <condition>: else: else: < code > < code > < code > < code > < code > <code > - <condition> has a value True or False. Evaluate the first block whose corresponding <condition> is True A block is started by an if statement Indentation matters in Python!. 6.100L Lecture 3
96.0,BRANCHING RECAP if <condition>: if <condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif <condition>: elif <condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif <condition>: else: else: < code > < code > < code > <code> < code > < code > - <condition> has a value True or False. Evaluate the first block whose corresponding <condition> is True A block is started by an if statement Indentation matters in Python!. 6.100L Lecture 3
98.0,BRANCHING RECAP if condition>: if<condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif<condition>: elif <condition>: ifcondition>: < code > code> < code > < code > < code > <code > elif<condition>: else: else: < code > code > code > <code> <code > < code > - <condition> has a value True or False. Evaluate the first block whose corresponding <condition> is True A block is started by an i f statement. Indentation matters in Python! 6.100L Lecture 3
100.0,BRANCHING RECAP if <condition>: if<condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif<condition>: elif <condition>: ifcondition>: < code > code> < code > < code > <code> <code > elif<condition>: else: else: < code > code > code > <code> < code > < code > -<condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an i f statement. Indentation matters in Python! 6.100L Lecture3
102.0,BRANCHING RECAP if <condition>: if<condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif<condition>: elif <condition>: ifcondition>: < code > code> < code > < code > < code > <code > elif<condition>: else: else: < code > code > code > < code > < code > < code > -<condition>hasavalueTrueor False Evaluate the first block whose corresponding <condition> is True A block is started by an if statement. Indentation matters in Python! 6.100L Lecture3
104.0,BRANCHING RECAP if <condition>: if<condition>: if <condition>: < code > < code > < code > < code > < code > < code > elif<condition>: elif <condition>: ifcondition>: < code > code > < code > < code > < code > <code > elif<condition>: else: else: < code > code > code > < code > < code > <code > -<condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an i f statement. Indentation matters in Python! 6.100L Lecture3
112.0,BRANCHING RECAP if <condition> if <condition> if <condition> < code > < code > < code > < code > < code > < code > elif <condition> elif <condition>: if <condition < code > < code > < code > < code > < code > <code > elif <condition else else < code > < code > <code > < code > < code > < code > -<condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an i f statement. Indentation matters in Python!. 6.100L Lecture 3
114.0,BRANCHING RECAP if <condition if <condition> if <condition> < code > < code > <code > < code > < code > < code > elif <condition elif <condition>: if <condition < code > <code > < code > < code > < code > <code > elif <condition else < code > <code > <code > <code> <code > <code > -<condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an if statement Indentation matters in Python! 6.100L Lecture 3
116.0,BRANCHING RECAP if <condition if <condition> if <condition> < code > < code > < code > < code > < code > < code > elif <condition> elif <condition>: if <condition < code > <code > < code > < code > < code > < code > elif <condition else e1se < code > <code > <code > < code > <code > < code > -<condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an if statement Indentation matters in Python!. 6.100L Lecture 3
120.0,BRANCHING RECAP if <condition if <condition> if <condition> < code > < code > < code > < code > < code > < code > elif <condition> elif <condition>: if <condition < code > < code > < code > < code > < code > < code > elif <condition else else < code > <code > <code > <code> <code > < code > -<condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an i f statement. Indentation matters in Python!. 6.100L Lecture 3
126.0,BRANCHING RECAP if <condition if <condition> if <condition> < code > < code > < code > < code > < code > < code > elif <condition elif <condition>: if <condition < code > <code > < code > < code > < code > <code > elif <condition else < code > <code > <code > < code > < code > <code > <condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an if statement Indentation matters in Python! 6.100L Lecture 3
128.0,BRANCHING RECAP if <condition: if <condition>: if <condition> <code > <code> <code > <code> <code> <code> elif <condition>: elif <condition>: if <condition: <code > <code> <code > < code > <code> <code> elif <condition else else < code > <code> <code> <code> <code> < code > <condition>hasavalue TrueorFalse Evaluate the first block whose corresponding <condi tion> is True A block is started by an if statement Indentation matters in Python 6.100L Lecture 3
130.0,BRANCHING RECAP if <condition> if <condition>: if <condition> < code > <code> <code > <cde > <code> <code> elif <condition elif <condition: if <condition> <code> <code> < code> <code> <code> Code elif <condition: else else: <code> <code> <code> <code> <code> <code> <condition>hasavalue Trueor False Evaluate the first block whose corresponding <condition> is True A block is started by an if statement Indentation matters in Python! 6.100L Lecture 3
132.0,BRANCHING RECAP if <condition> if <condition> if <condition> < code > <code> <code > < cqde > < code > < code > elif <condition> elif <condition>: if <condition < code > <code > < code > < code > <code > <code > elif <condition else e1se < code > <code > <code > < code > <code > <code > <condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an if statement Indentation matters in Python!. 6.100L Lecture 3
134.0,BRANCHING RECAP if <condition if <condition> if <condition> < code> <code> < code > < code > < code > < code > elif <condition elif <condition>: if <condition <code > < code > < code > < code > < code > <code > elif <condition else e1se < code > <code > <code > <code> <code > <code > -<condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an if statement Indentation matters in Python!. 6.100L Lecture 3
136.0,BRANCHING RECAP if <condition if <condition> if <condition> < code > < code > < code > < code > < code > < code > elif <condition> elif <condition>: if <condition < code > <code > < code > < code > < code > < code > elif <condition else e1se < code > <code > <code > <code> <code > <code > -<condition>hasavalueTrueorFalse Evaluate the first block whose corresponding <condition> is True A block is started by an if statement Indentation matters in Python!. 6.100L Lecture 3
138.0,BRANCHING RECAP if <condition if <condition> if <condition> < code > < code > < code > < code > < code > < code > elif <condition> elif <condition>: if <condition < code > < code > < code > < code > < code > < code > elif <condition else else < code > < code > <code > <code> <code > <code > - <condition> has a value True or False. Evaluate the first block whose corresponding <condition> is True A block is started by an if statement. Indentation matters in Python!. 6.100L Lecture 3
