start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 13: Exceptions and Assertions. Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,TOTHE RUBBERDUCK? IF YOU MISSED LAST LECTURE 6.100 COME GRAB YOUR OWN Dono DEBUGGING DUCK Check ee
58.0,Talking: A EXCEPTIONS ASSERTIONS (download slides and .py files to follow along. 6.100L Lecture 13 Ana Bell
84.0,"UNEXPECTED CONDITIONS What happens when procedure execution hits an unexpected condition? Get an exception... to what was expected Trying to access beyond list limits test = [1,7,4] test[4] ) IndexError : Trying to convert an inappropriate type int(test) > TypeError Referencing a non-existing variable NameError . Mixing data types without coercion 'a'/4 > TypeError 6.100L Lecture 13"
128.0,"HANDLING EXCEPTIONS Typically, exception causes an error to occur and execution to stop Python code can provide handlers for exceptions try: if <all potentially problematic code succeeds>:. # do some potentially # great, all that code. # problematic code # just ran fine! except: else: # do something to # do something to # handle the problem # handle the problem If expressions in try block all succeed. Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the except statement Execution continues with the body of the except statement Then other expressions after that block of code. 6.100L Lecture 13"
212.0,"HANDLING EXCEPTIONS Talking:A Typically, exception causes an error to occur and execution to stop Python code can provide handlers for exceptions try: if <all potentially problematic code succeeds>: # do some potentially # great, all that code # problematic code # just ran fine!. except: else: # do something to. # do something to. # handle the problem # handle the problem If expressions in try block all succeed Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the except statement Execution continues with the body of the except statement Then other expressions after that block of code 6.100L Lecture 13"
214.0,"HANDLING EXCEPTIONS Python code can provide handlers for exceptions try: if <all potentially problematic code succeeds>:. # do some potentially # great, all that code. # problematic code # just ran fine! except: else: # do something to # do something to # handle the problem # handle the problem If expressions in try block all succeed. Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the except statement Execution continues with the body of the except statement Then other expressions after that block of code. 6.100L Lecture 13"
254.0,"HANDLING EXCEPTIONS Typically, exception causes an error to occur and execution to stop Python code can provide handlers for exceptions try: if <all potentially problematic code succeeds>: # do some potentially # great, all that code # problematic code # just ran fine! except: else: # do something to. # do something to # handle the problem # handle the problem If expressions in try block all succeed. Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the except statement Execution continues with the body of the except statement Then other expressions after that block of code 6.100L Lecture 13"
258.0,"HANDLING EXCEPTIONS Typically, exception causes an error to occur and execution to stop Python code can provide handlers for exceptions try: if <all potentially problematic code succeeds>:. do some potentially # great, all that code problematic code # just ran fine! except: else: # do something to # do something to # handle the problem # handle the problem If expressions in try block all succeed Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the except statement Execution continues with the body of the except statement Then other expressions after that block of code 6.100L Lecture 13"
268.0,"HANDLING EXCEPTIONS Python code can provide handlers for exceptions try: if <all potentially problematic code succeeds>: # do some potentially # great, all that code # problematic code # just ran fine! except: else: # do something to. # do something to. # handle the problem # handle the problem If expressions in try block all succeed Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the except statement Execution continues with the body of the except statement Then other expressions after that block of code 6.100LLecture 13"
280.0,"HANDLING EXCEPTIONS Typically, exception causes an error to occur and execution to stop Python code can provide handlers for exceptions try: if <all potentially problematic code succeeds>:. # do some potentially # great, all that code. # problematic code # just ran fine! except: else: # do something to # do something to. # handle the problem # handle the problem If expressions in try block all succeed. Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the except statement Execution continues with the body of the except statement Then other expressions after that block of code. 6.100L Lecture 13"
288.0,"HANDLING EXCEPTIONS Python code can provide handlers for exceptions try: if.<all potentiallg problematic code succeeds>: # do some potentially # great, all that code # problematic code # just ran fine!. except: else: # do something to # do something to # handle the problem # handle the problem If expressions in try block all succeed Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the exceptstatement Execution continues with the body of the except statement Then other expressions after that block of code 6.100L Lecture 13"
298.0,"HANDLING EXCEPTIONS Typically, exception causes an error to occur and execution to stop Python code can provide handlers for exceptions try:] # do some potentially # great, all that code # problematic code # just ran fine! except: else: # do something to # do something to # handle the problem # handle the probler If expressions in try block all succeed Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the except statement Execution continues with the body of the except statement Then other expressions after that block of code 6.100L Lecture 13"
302.0,"HANDLING EXCEPTIONS Python code can provide handlers for exceptions try: # do some potentially # great, all that code # problematic code # just ran fine! except: else: # do something to # do something to # handle the problem # handle the problem If expressions in try block all succeed Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the. except statement Execution continues with the body of the except statement Then other expressions after that block of code 6.100L Lecture 13"
330.0,"HANDLING EXCEPTIONS Typically, exception causes an error to occur and execution to stop Python code can provide handlers for exceptions try: if <all potentially problematic code succeeds>:. # do some potentially # great, all that code. # problematic code # just ran fine! except: else: # do something to # do something to. # handle the problem # handle the problem If expressions in try block all succeed. Evaluation continues with code after except block Exceptions raised by any statement in body of try are handled by the except statement Execution continues with the body of the except statement Then other expressions after that block of code. 6.100L Lecture 13"
342.0,"EXAMPLE with CODE YOU MIGHT HAVE ALREADY SEEN Talking: An A function that sums digits in a string. CODE YOU'VE SEEN CODE WITH EXCEPTIONS def sum digits(s): def sum digits(s): nnn s is a non-empty string containing digits. containing digits. Returns sum of all chars that Returns sum of all chars that are digits are digits total = 0 total = 0 for char in s:. for char in s: if char in'0123456789: try: val = int(char) val = int(char) total += val total += val return total except: print(""can't convert"", char) return total 6.100L Lecture 13"
352.0,"EXAMPLE with CODE YOU MIGHT HAVE ALREADY SEEN A function that sums digits in a string CODE YOU'VE SEEN CODEWITH EXCEPTIONS def sum digits(s): def sum digits(s): n s is a non-empty string containing digit containing digits. Returns sum of all chars that Returns sum of all chars that digits anm are digits total =0 total =0 for char in s: for char in s: if char in 0123456799: try: val = int(char) val = int(char) total += val total += val return total except: print(""can't convert"",char) return total 6.100L Lecture 13"
354.0,"EXAMPLE with CODE YOU MIGHT HAVE ALREADY SEEN A function that sums digits in a string CODE YOU'VE SEEN CODE WITH EXCEPTIONS def sum digits(s): def sum digits(s): containing digits containing digits. Returns sum of all Chars that Returns sum of all chars that digits nnn are digits total total =0 for char in s: for char in s: if char in0123456789': try: val = int(char) val =int(char) total += val total += val return total except: print(""can't convert"",char) return total 6.100L Lecture 13"
358.0,"EXAMPLE with CODE YOU MIGHT HAVE ALREADY SEEN A function that sums digits in a string CODE YOU'VE SEEN CODE WITH EXCEPTIONS def sum digits(s): def sum digits(s): pty string containing digi containing digits. eturns sum of all cha that Returns sum of all chars that are digits are digits total =0 total =0 for char ins: for char in s: if char in '0123456789 try: val = int(char) val = int(char) total += val total += val reti total except: print(""can't convert"", char) return total 6.100L Lecture 13"
