start,content
4.0,MITOCW
6.0,"Introduction to Computer Science and Programming Using Python. 6.100L, Fall 2022 Lecture 17: Python Classes Ana Bell MIT OCW ocw.mit.edu BY NC SA"
12.0,Some content in this video is not covered under our Creative Commons license See the closing credits for more information MIT OCW c BYNCSA
18.0,PYTHON CLASSES (download slides and .py files to follow along) 6.100L Lecture 17 Ana Bell
30.0,6.100lLectwre17 AnaBell
46.0,PYTHON CLASSES (download slides and .py files to follow along) 6.100L Lecture 17 Ana Bell
54.0,"OBJECTS Python supports many different kinds of data 1234 3.14159 ""Hello"" [15,7,11,13] ""CA""""California"",""MA""""Massachusetts""} Each is an object, and every object has: An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type 1234 is an instance of an int ""hello""isan instance ofa str"
56.0,"OBJECTS Python supports many different kinds of data. 1234 3.14159 ""Hello"" [1, 5, 7, 11, 13] Each is an object, and every object has:. An internal data representation (primitive or composite) .A set of procedures for interaction with the object. An object is an instance of a type. 1234 is an instance of an int. . ""hello"" is an instance of a str. 6.100L Lecture 17"
112.0,"OBJECTS Python supports many different kinds of data 1234 3.14159 ""Hello"" [15,71113] ""CA"":""California"",""MA"":""Massachusetts""} Each is an object, and every object has: An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type 1234 is an instance of an int ""hello""is an instance of a str"
128.0,"OBJECTS Python supports many different kinds of data. 1234 3.14159 ""Hello"" [1, 5, 7, 11, 13] Each is an object, and every object has:. An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type. 1234 is an instance of an int . ""hello"" is an instance of a str. 6.100L Lecture 17"
156.0,"OBJECTS Python supports many different kinds of data 1234 3.14159 ""Hello"" [1,5,7,11,13] {""cA"": ""California"", ""MA"": ""Massachusetts""} Each is an object, and every object has: An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type 1234 isaninstance ofanint ""hello""is an instance ofa str 6.100L Lecture 17"
162.0,"OBJECTS Python supports many different kinds of data. 1234 3.14159 ""Hello"" [1,5,7, 11,13] Each is an object, and every object has:. An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type. 1234 is an instance of an int . ""hello"" is an instance of a str. 6.100L Lecture 17"
170.0,"OBJECTS Python supports many different kinds of data 1234 3.14159 ""Hello"" [1,5,7,11,13] {""CA"": ""California"", ""MA"": ""Massachusetts""} Each is an object, and every object has: An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type 1234 isaninstanceofanint ""hello""isan instance ofa str 6.100L Lecture 17"
172.0,"OBJECTS Python supports many different kinds of data 1234 3.14159 ""Hello"" [1,5,7,11,13] {""cA"": ""California"", ""MA"": ""Massachusetts"" Each is an object, and everyobject has: An internal data representation (primitive or composite A set of procedures for interaction with the object An object is an instance of a type 1234 is an instanceofan int ""hello""is aninstanceofastr 6.100L Lecture 17"
174.0,"OBJECTS Python supports many different kinds of data 1234 3.14159 ""Hello"" [1,5,7, 11, 13] {""cA"": ""California"", ""mA"": ""Massachusetts""} Each is an object, and every object has: An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type 1234 isan instanceof an int . ""hello"" is an instance of a str 6.100L Lecture 17"
180.0,"OBJECTS Python supports many different kinds of data 1234 3.14159 ""Hello"" [1,5,7,11,13] Each is an object, and every object has:. An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type. 1234 is an instance of an int ""hello""is aninstanceofastr 6.100L Lecture 17"
184.0,"OBJECTS Python supports many different kinds of data. 1234 3.14159 ""Hello"" [1, 5, 7, 11, 13] {""cA"": ""California"", ""MA"": ""Massachusetts""} Each is an object, and every object has:. An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type. 1234 is an instance of anint ""hello"" is an instance of a str. 6.100L Lecture 17"
206.0,"OBJECTS Python supports many different kinds of data 1234 3.14159 ""Hello"" [15,7,11,13] {""CA""""California"",""MA""""Massachusetts""} Each is an object, and every object has: An internal data representation (primitive or composite) A set of procedures for interaction with the object An object is an instance of a type 1234 is an instance of an int ""hello""is an instance of a str"
210.0,"OBJECTS Python supports many different kinds of data la"", ""MA"": Each is an abject and every objec .Ainen data representation (prir ve or com(posite) SAA ocedures for interaction w che obied sAnobjert instance of a type nstance of an int astance ofa"
212.0,"OBJECTS Python supports many different kinds of data 1234 3.14159 ""Hello"" [1,5,7,11,13] {""CA"":""California"",""MA"":""Massachusetts""} Each is an object, and every object has: An internal data representation (primitive or composite) A set of procedures for interaction with the object. - An object is an instance of a type 1234 is an instance of an int - ""hello"" is an instance of a str 6.100LLecture 17"
228.0,"OBJECT ORIENTED PROGRAMMING (OOP) EVERYTHING IN PYTHON IS AN OBJECT (and has a type) Can create new objects of some type. Can manipulate objects Can destroy objects Explicitly using del or just ""forget""about them Python system will reclaim destroyed or inaccessible objects -- called ""garbage collection"" A 6.100L Lecture 17"
258.0,WHAT ARE OBJECTS? Talking:A Objects are a data abstraction that captures.... (1) An internal representation Through data attributes (2) An interface for. interacting with object. Through methods. (aka procedures/functions) Defines behaviors but hides implementation 6.100L Lecture 17
364.0,WHAT ARE OBJECTS? Objects are a data abstraction that captures.... (1) An internal representation Through data attributes (2 An interface for interacting with object Through methods (aka procedures/functions) Defines behaviors but hides implementation
450.0,"EXAMPLE: [1,2,3,4] has type list Talking.A follow pointer to (1) How are lists represented internally?. the next index Does not matter for so much for us as users (private representation) L = or (2) How to interface with, and manipulate, lists? .L[i], L[i:j], + .len(), min(), max(), del(L[i]) : L.append(),L.extend(),L.count(),L.index(), L.insert(),L.pop(),L.remove(),L.reverse(), L.sort() Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly 6.100L Lecture 17"
468.0,"EXAMPLE: [1,2,3,4] has type list 1) How are lists represented internally? the Does not matter for so much for us as users (private representation) L= or 2) How to interface with, and manipulate, lists? L[i],L[i:jl,+ lenminmaxdelL[i]) L.append(,L.extend,L.count(,L.index(, L.insert(,L.pop(,L.remove(,L.reverse(, L.sort( Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly 6100LLccore17"
470.0,"EXAMPLE: [1,2,3,4] has type list follow 1) How are lists represented internally? Does not matter for so much for us as users (private representation) L= or L= 2) How to interface with, and manipulate, lists? L[i],Li:j]+ lenminmaxdel(L[i]) L.append,L.extend,L.countL.index), L.insert,L.pop(,L.remove(,L.reverse(, L.sort() Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly"
480.0,"EXAMPLE: [1,2,3,4] has type list 1) How are lists represented internally? Does not matter for so much for us as users (private representation) L= or (2) How to interface with, and manipulate, lists? Lil,Li:jl,+ lenmin,maxdelL[i] L.appendL.extend,L.countL.index, L.insertL.pop,L.remove(,L.reverse(, L.sort( Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly"
482.0,"EXAMPLE: [1,2,3,4] has type list 1) How are lists represented internally? Does not matter for so much for us as users (private representation) to L= or 2) How to interface with, and manipulate, lists? Li],L[i:jl,+ len)min,maxdelL[i] L.appendL.extendL.count,L.index, L.insert(,L.pop),L.remove,L.reverse, L.sort( Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly"
484.0,"EXAMPLE: [1,2,3,4] has type list follow pointer to (1) How are lists represented internally? the e next index Does not matter for so much for us as users (private representation) or (2) How to interface with, and manipulate, lists? L[i], L[i:j], + len(), min(), max(), del(L[i]) L.append(,L.extend(),L.count(,L.index(), L.insert(),L.pop(),L.remove(),L.reverse(), L.sort() Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly 6.100L Lecture 17"
534.0,"EXAMPLE: [1,2,3,4] has type list 1 How are lists represented internally? the Does not matter for so much for us as users (private representation) to L= or L= 2 How to interface with, and manipulate, lists? L[i],L[i:jl,+ len)minmax)del(L[i]) L.append,L.extend,L.count(,L.index), L.insert(L.pop,L.removeL.reverse), L.sort( Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly"
538.0,"EXAMPLE: [1,2,3,4] has type list follow 1) How are lists represented internally? Does not matter for so much for us as users (private representation) L= or 2) How to interface with, and manipulate, lists? L[i],L[i:j],+ lenminmaxdel(L[i]) L.append(),L.extend(),L.count(),L.index(), L.insert(),L.pop(,L.remove,L.reverse(, L.sort( Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly 100LLecture17"
540.0,"EXAMPLE: [1,2,3,4] has type list follow 1 How are lists represented internally? Does not matter for so much for us as users (private representation) L= or 2) How to interface with, and manipulate, lists? L[i],Li:j],+ lenminmaxdelL[i]) L.append,L.extend(,L.count,L.index), L.insert(,L.pop(,L.remove(),L.reverse(, L.sort( Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly"
542.0,"EXAMPLE: [1,2,3,4] has type list follow 1) How are lists represented internally? the Does not matter for so much for us as users (private representation) L= L= 3 or 2) How to interface with, and manipulate, lists? L[i],L[ij],+ lenmin,maxdelL[i] L.append),L.extend,L.count,L.index), L.insert(),L.pop,L.remove,L.reverse(, L.sort( Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly"
544.0,"EXAMPLE: [1,2,3,4] has type list 1 How are lists represented internally? Does not matter for so much for us as users (private representation) L= or 2 How to interface with, and manipulate, lists? L[i],L[i:j],+ lenmin,maxdel(L[i] L.append(,L.extend(,L.count(,L.index, L.insert(,L.pop,L.remove),L.reverse(), L.sort( Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly"
546.0,"EXAMPLE: [1,2,3,4] has type list Talking:A follow pointer to (1) How are lists represented internally?. the next index Does not matter for so much for us as users (private representation) L = or (2) How to interface with, and manipulate, lists? .L[i], L[i:j], + .len(), min(), max(), del(L[i]) . L.append(),L.extend(),L.count(),L.index(), L.insert(),L.pop(),L.remove(),L.reverse(), L.sort() Internal representation should be private Correct behavior may be compromised if you manipulate internal representation directly 6.100L Lecture 17"
560.0,"REAL-LIFE EXAMPLES Elevator: a box that can change floors. Represent using length, width, height, max_capacity, current_floor Move its location to a different floor, add people, remove people Employee: a person who works for a company. Represent using name, birth_date, salary Can change name or salary Queue at a store: first customer to arrive is the first one helped Represent customers as a list of str names Append names to the end and remove names from the beginning Stack of pancakes: first pancake made is the last one eaten Represent stack as a list of str Append pancake to the end and remove from the end. 6.100L Lecture 17"
606.0,"REAL-LIFE EXAMPLES -Elevator:a box that can change floors Represent using length,width,height, max_capacity current_floor Move its location to a different floor, add people,remove people Employee: a person who works for a company Represent using name, birth_date,salary Can change name or salary Queue at a store:first customer to arrive is the first one helped Represent customers as a list of str names Append names to the end and remove names from the beginning Stack of pancakes:first pancake made is the last one eaten Represent stack as a list of str Append pancake to the end and remove from the end"
718.0,7
732.0,"REAL-LIFE EXAMPLES Elevator:a box that can change floors Represent using length,width,height, max_capacity,current_floor Move its location to a different floor, add people,remove people Employee:a person who works for a company Represent using name, birth_date, salary Can change name or salary Queue at a store:first customer to arrive is the first one helped Represent customers as a list of str names Append names to the end and remove names from the beginning Stack of pancakes:first pancake made is the last one eaten Represent stack as a list of str Append pancake to the end and remove from the end"
738.0,"REAL-LIFE EXAMPLES Elevator:a box that can change floors Represent using lengthwidth,height,max_capacitycurrent_floor Move its location to a different floor, add people, remove people Employee: a person who works for a company Represent using name birth_date salary Can change name or salary Queue at a store:first customer to arrive is the first one helped Represent customers as a list of str names Append names to the end and remove names from the beginning Stack of pancakes: first pancake made is the last one eaten Represent stack as a list of str Append pancake to the end and remove from the end"
746.0,"REAL-LIFE EXAMPLES Elevator: a box that can change floors. Represent using length, width, height, max_capacity, current_floor Move its location to a different floor, add people, remove people Employee: a person who works for a company. Represent using name, birth_date, salary Can change name or salary Queue at a store: first customer to arrive is the first one helped Represent customers as a list of str names Fuannnnne nnn mnnn annnu nannne ane aan nnn nn aannn aannne Stack of pancakes: first pancake made is the last one eaten Represent stack as a list of str Append pancake to the end and remove from the end. 6.100L Lecture 17"
758.0,L
766.0,7
774.0,L
776.0,7
778.0,L
782.0,ADVANTAGES OF OOP Bundle data into packages together with procedures that work on them through well-defined interfaces Divide-and-conquer development : Implement and test behavior of each class separately : Increased modularity reduces complexity Classes make it easy to reuse code . Many Python modules define new classes : Each class has a separate environment (no collision on function names) Inheritance allows subclasses to redefine or extend a selected subset of a superclass'behavior 6.100L Lecture 17
804.0,L 7
808.0,L
812.0,ADVANTAGES OF OOP Talking:A Bundle data into packages together with procedures that. work on them through well-defined interfaces Divide-and-conquer development : Implement and test behavior of each class separately : Increased modularity reduces complexity Classes make it easy to reuse code Many Python modules define new classes : Each class has a separate environment (no collision on function names) .Inheritance allows subclasses to redefine or extend a selected subset of a superclass'behavior 6.100L Lecture 17
814.0,ADVANTAGES OF OOP Bundle data into packages together with procedures that work on them through well-defined interfaces. Divide-and-conquer development : Implement and test behavior of each class separately. : Increased modularity reduces complexity Classes make it easy to reuse code Many Python modules define new classes. : Each class has a separate environment (no collision on function. names) .Inheritance allows subclasses to redefine or extend a selected subset of a superclass'behavior 6.100L Lecture 17
816.0,ADVANTAGES OF OOP Bundle data into packages together with procedures that work on them through well-defined interfaces Divide-and-conquer development : Implement and test behavior of each class separately : Increased modularity reduces complexity Classes make it easy to reuse code. Many Python modules define new classes : Each class has a separate environment (no collision on function names) . Inheritance allows subclasses to redefine or extend a selected subset of a superclass'behavior 6.100L Lecture 17
828.0,BIG DEA You write the class so you. make the design decisions.. You decide what data represents the class. You decide what operations a user can do with the class. 6.100L Lecture 17
868.0,L
880.0,"Implementing the class Using the class CREATING AND USING YOUR Talking: Ar OWN TYPES WITH CLASSES Make a distinction between creating a class and using an instance of the class. Creating the class involves. . Defining the class name : Defining class attributes : for example, someone wrote code to implement a list class Using the class involves Creating new instances of the class : Doing operations on the instances. for example, L=[1,2] and 1en(L) 6.100L Lecture 17"
934.0,CREATING AND USING YOUR OWN TYPES WITH CLASSES Make a distinction between creating a class and usingan instance of the cla Creating the class involves Demog the class name Definngcass attr torexanple someonewrate code tamplementa lst ciass Using the class involves Creatngnew.iostances.oltnp ciaks Dang operauonsmn the mstances orraame
936.0,"Usingthe d CREATING AND USING YOUR OWN TYPES WITH CLASSES Makaa-distinction between creating a class and sing an instance of the class Creating the class involves Defining the class n Defining class attrib for example,some e wrote cade to implement a list class Using the class involves Sreating ne instances of the class Doing operations an the instances for exomple-12/and len"
938.0,"Implementing the class Using the class CREATING AND USING YOUR OWN TYPES WITH CLASSES Make a distinction between creating a class and using an instance of the class -Creating the class involves Defining the class name Defining class attributes for example, someone wrote code to implement a list class Using the class involves Creating new instances of the class Doing operations on the instances for example,L-12] ond 1enL"
986.0,"A PARALLEL with FUNCTIONS Defining a class is like defining a function With functions, we tell Python this procedure exists With classes, we tell Python about a blueprint for this new data type Its data attributes Its procedural attributes -Creating instances of objects is like calling the function With functions we make calls with different actual parameters With classes, we create new object tinstances in memory of this type L1= [1,2,3] L2 = [5,6,7]"
1060.0,COORDINATE TYPE DESIGN DECISIONS Talking: Ar 6.100L Lecture 17
1090.0,COORDINATE TYPE DESIGN DECISIONS Talking: An Can create instances of a Coordinate object 6.100L Lecture 17
1150.0,"COORDINATE TYPE DESIGN DECISIONS Can create instances of a Coordinate object 3,4 1,1"
1154.0,"COORDINATE TYPE DESIGN DECISIONS Decide what data elements Can create instances of a constitute an object Coordinate object In a 2D plane A coordinate is defined.by 3,4 an xand y value 11"
1158.0,"COORDINATE TYPE DESIGN DECISIONS Talking: An Can create instances of a Decide what data elements Coordinate object constitute an object In a 2D plane A coordinate is defined by (3,4) an x and y value (1,1) 6.100L Lecture 17"
1162.0,"COORDINATE TYPE DESIGN DECISIONS Talking:A Can create instances of a Decide what data elements Coordinate object constitute an object In a 2D plane A coordinate is defined by (3,4) an x and y value. Decide what to do with coordinates Tell us how far away the coordinate is on the x or y axes Measure the distance between (1,1) two coordinates, Pythagoras 6.100L Lecture 17"
1212.0,"Implementingthe class Using the clas DEFINE YOUR OWN TYPES Talkinc Use the class keyword to define a new type class Coordinate(object): #define attributes here Similar to def, indent code to indicate which statements are part of the class definition. The word object means that Coordinate is a Python object and inherits all its attributes (will see in future lects) 6.100L Lecture 17"
