start,text
0.0, Hello and welcome back!
2.0, Congratulations on reaching the final chapter!
5.0," You have made it to the last chapter of this Django course, and that's a fantastic achievement!"
10.0," Your dedication and hard work have brought you to this point, and now it's time to tackle one of the most important aspects of web development."
18.0, Authentication
20.0," Authentication is a crucial aspect of web application development, ensuring that users can securely log in, access protected resources, manage their accounts,"
29.0," and not only that, but new users also can sign in or register from your website, instead of creating a super user with a username and password from the command line."
39.0," And in this tutorial, we're going to build a simple authentication form using Django Authentication system."
45.0," Django Authentication system has a lot of out-of-the-box tools that can help you create a form that can have registration, login, and logout functionalities in no time."
55.0," So there is a very important module called Django.contrib.auth, which is responsible of creating your authentication."
62.0," So you will find it by default in your settings.py, and it's generated by the Django Admin Start project."
69.0," So don't worry, we're not going to install anything outside of Django."
73.0," Right, so we're going to see the middlewares, we're going to see the sessions and all that."
79.0," Ultimately, the objective of this tutorial is to know how to set up user registration to allow new users to create accounts, how to implement user login functionality to authenticate existing users,"
90.0," also to create a logout mechanism to securely log users out of their accounts, and finally how to protect specific pages so that only authenticated users can access them."
101.0, We're going to see all of that in today's tutorial.
105.0," All right, so I'm inside the global folder here, and I want to go to a lesson 10 authentication."
114.0," Then I will activate the virtual environment by PPMV shell, of course."
121.0, And then I will install Django using PPMV as well.
131.0," All right, awesome. Now I can create my project Django Admin, start project, and let's call this one off project."
144.0, Then I will change directory to off project.
149.0," Let's see what we have. Okay, so we have the oath project and manage the pie."
155.0, I can increase this a little bit and we can shut the explore for now.
160.0," Then, right, let's do that again. Okay, so I will use the manage.py command line to start my application, and I'm going to call it off app."
173.0," So we'll have off project and off app. Right, so now we have the off app of project and manage.py."
181.0, Let me open the off project. So the first thing that you want to do is to create your user registration.
189.0," But before we do that, we need to go to settings.py and I want to show you something very important."
194.0, So you see the Django.contrib.auth content types sessions. All of that is actually very important for your authentication.
204.0," As I told you, this exists by default. You will not have to install anything outside of Django."
210.0, Let me just add here my application. So that's called off app.
217.0," Okay, and also we will use a static folder for our CSS. I'm going to use CSS."
223.0," I wanted to use bootstrap to be honest, but I thought maybe we can leave that to the final project."
229.0," We can use bootstrap. For now, I'm going to use simple CSS styling."
233.0," So we'll need the static files, doors. This is a tuple, of course, as we know. So os.path.join."
243.0, And I want to join the base directory with the static folder. Right. And we need to go up and import the operating system module.
255.0," All right. And we are set for now, because we'll need to return back to redirect to the homepage after the login."
265.0, It's very early on to show you this. So we're going to shut the settings.py for now.
269.0," And we'll go to create the user registration, which is going to be forms.py in my application."
274.0, So I'm going to create this forms.py file. And we've seen the last lesson how to create forms.
283.0," So from Django, I want actually to import the forms module. That's the first module."
290.0," Also, I will need the user model. The user model is imported from Django, of system."
296.0, So the way to do that is from Django.contrib.auth.models. I want to import the user.
307.0," This user class or model is very important, because without it will not be able to let the user enter the user name and password."
314.0, Because without it will not be able to let the user register in the login form.
319.0," So yeah, we'll need this for the user name and password and password confirmation and all of that."
325.0, So these are the two models or the two things that I want to import forms module and the user class.
333.0," Alright, so I want to create a class and this is going to define a form for user registration using the model form."
342.0, I'm going to call it register form. This is form of course form registration.
348.0, And we're going to pass as the main parameter the forms dot model form.
355.0," So for the register form class, I will need two main things, the password and password confirm."
362.0, The password is going to take the forms module dot character field.
369.0, So this character field here is going to have a widget and the widget is going to take a password input from the forms module.
377.0," So accessing the character field, we can have a widget and that widget here is equal to forms dot password input."
386.0," You see, this is very easy and simple with Django. Everything is out of the box available for you to use it."
393.0, So this is concerning the password. I also will need the password confirm.
398.0, And this is of course to confirm the password field like you would do in any website where you register for the first time.
406.0," It's going to be basically the same, but I'm going to add a label and here I'm going to type confirm password."
414.0, Then I'm going to have a metadata for the form. So that's going to be a class called meta and I'm going to define the model to be equal to the user.
425.0," And here simply I'm using the user model, all right, but also I need fields."
430.0," So the fields here are going to be the username, the password and the password confirm."
435.0, So that's the list of those fields user name password and password confirm.
448.0," Right, so these are the fields to include in our form. Till now we haven't added any validation logic for our Django form."
456.0, This is going to be done through a function that I'm going to create and I'm going to call it clean.
462.0, This clean function takes self of course pertaining to the self object.
467.6, And this is actually a custom clean function or method for additional validation.
473.4, And I'm going to use that actually to ensure that certain conditions are met
478.2, beyond the basic field validations provided by Django.
481.6, So let me show you what I want to do.
483.4," First of all, I want to create a variable and I'm going to call it cleaned data."
488.8, This clean data actually is going to call the parent class as clean method.
494.40000000000003, So this is all about inheritance from the super class and we're going to inherit a method called clean.
501.8, Now you can read the description of the clean method.
504.40000000000003, It says here that this is a hook for doing any extra formwide cleaning after field.clean has been called on every field.
512.8, So any validation error raised by this method will not be associated with a particular field.
518.4, It will have a special case association with the field name underscore underscore all underscore underscore.
524.4," So in English, this is a method of the parent class, which is form or model form."
529.4, And this actually performs the standard cleaning and validation of all fields in the form.
535.4, And then you want to store the result in this clean data variable.
539.5999999999999," All right, because we're going to use it now."
542.2," All right, so let's call on the clean method and the next variable I want is the password."
548.0, The password is going to be equal to the clean data dot get method to get the password entered by the user.
557.2," And finally, I want the password confirm."
559.8000000000001, So maybe I can do like that.
563.0," So the password confirm here also is going to take the clean data dot get and instead of getting the password,"
569.6, it's going to get the password underscore confirm.
573.4, The next step is very important.
575.4, This is simply to check if the passwords match.
583.4, And the way to do that is I'm going to check out if password and password confirm and password is not equal to password confirm.
599.2," In this case, I want to raise validation error."
603.4000000000001, That's a sort of error that's inside the forms module.
607.4000000000001," So forms dot validation error and this validation error, we can write here any message."
614.4000000000001," And this message here, we can write any message that we want in order to alert the user that the passwords do not match."
623.6, So we can say simply passwords do not match.
628.2, And else I want to return the cleaned data.
633.8, So we are returning actually the clean data if the validation passes.
638.2," All right, awesome."
639.6," Following that, we want to add views to handle the user registration."
643.8, So we're going to import different things here.
647.4, First thing that I want to import with render is of course the redirect function.
652.2," Right, we have seen that the last time."
655.0," Also, I will need to import from Django dot contrip dot auth."
662.8, I want to I want to import authenticate.
669.8," Also, I want to import login and I want to import logout."
673.8," You see all of these functions, all of this is code actually written and embedded inside Django."
680.4, You don't have to reinvent the wheel here.
682.6, You have everything in your possession.
684.2, You need only to know how to use it.
686.2," Also, I want to import from from Django dot contrip dot auth dot decorators."
695.8000000000001, So we're going to import the login required decorator.
699.8000000000001, So the creators in Python.
702.0, This is pure Python.
703.0, So I hope you know what the creators are.
704.8000000000001," But if you don't know, simply there are special functions that modify the behavior of other functions or methods."
711.6, And they're typically used to add functionality like we're doing here log in or access control without changing the original functions code.
720.0, So they are immediately invoked and they trigger other functions.
724.6," Alright, so that's the one that we're interested in the login required."
728.2," Also, I want to import from Django dot contrip dot auth dot mixins."
734.2, So mixins are simply reusable classes that can add specific functionality to class based views without being the primary parent class.
744.8, I know we haven't studied class based views.
747.6, We've only studied the function based views.
750.0, So the function based view and class based view basically do the same thing.
754.2," One uses function, the other one uses classes."
757.2," Alright, so I don't need the login required, but rather I need the login required mixing."
764.6," If we'll hover over this as a class, as you can see on the screen, and it verifies that the current user is authenticated."
771.0, So we're going also to touch on the class based views in this tutorial.
774.8000000000001," And speaking of class based views, I will need to import from Django dot views."
780.8000000000001, I want to import view.
782.8," Also, I will need the user class."
784.8, So that's from the Django dot contrip dot auth dot models.
792.0, I want to import user.
795.0, And the last thing I want to import from forms.py the register form class import the register form from forms.py.
813.8," Alright guys, so let's go ahead and start creating our first function."
820.0, So actually we'll have different functions.
823.0, The first one is register view and that's taking the request of course.
828.0," For now, I'm going to just pass."
830.5999999999999, I'm going just to type all of the functions and then we'll tackle them one by one.
835.0, The next one is for login.
837.0, So login view also taking request of course.
843.8, And that's of course for the logout.
848.8, And this right here is going to be for the home view.
853.0, So I'm going to use the decorator actually here.
856.0, So using the decorator.
860.0, So the decorator here is going to be used to require login for this view.
864.5999999999999, So that's going to be the login required.
868.4000000000001," Right, this one after the decorator comes your function actually that you want to invoke."
873.8000000000001, So that's going to be home view and taking request.
880.4000000000001, And that's going to also for now we're going to pass.
884.4000000000001," And yeah, that's basically it."
