start,text
0.0, Hello and welcome back.
2.0," What we have done so far is that we have launched the Django server,"
6.0, but we haven't actually created any applications yet.
9.0, And that's exactly what we're going to be doing today.
12.0, Creating a new project where we will build an Asian Tours Agency Management System using Django.
18.0," This application, by the way, will help us manage tours, destinations, and bookings across Asia."
23.0, So let's dive in and set up our project.
25.0, And the first thing that I want to do is I want to go to the location where I want to create my project.
30.0, And that's going to be inside lesson 2 Django app.
34.0, So I'm going to CD to that or to change directory to that folder.
42.0, And then I want to activate the virtual environment.
45.0, Now we have discussed the last time that virtual environment is very important.
49.0," So in order to activate my virtual environment, I will do pipian v shell."
55.0," Okay, you can see that it's successfully created virtual environment."
61.0, Now we can easily install any third party libraries inside our project
66.0, without worrying too much whether this dependency is going to be mixed up in the global file system or not.
72.0, That's one of the best practices in Django and in projects management in general.
76.0, And if you will open lesson 2 you will find that pip file has been created.
81.0, This is very similar to config.json or cargo.tomal.
85.0, Basically it's a file that keeps all of your configuration inside.
88.0," All of the dependencies, the packages that you want to install, your Python version for example, and so on."
94.0, So that's very important and it's not a good idea to touch that.
98.0, It's auto-generated and we'll keep it this way.
100.0, So I'm going to shut it for now and I'm maximizing the integrated terminal.
105.0," Next I want to pipian v install Django, which means that I'm going to install Django only inside my virtual environment."
113.0, So I will type this command pipian v install Django.
122.0, Fantastic.
123.0," Now with that out of the way, let's go ahead and start creating our project."
127.0," To do that like we have seen the last time, we need to use the Django admin command tool."
132.0," So I will say Django admin, then the command is start project followed by the name of the project that you want to create."
144.0, And I'm going to call that world tour.
146.0, That's going to be our project.
148.0," Inside my project, I want to create an application."
151.0, So I will need to cd to that or change directory to that folder world tour.
159.0," And inside world tour, you can create as many applications as you want."
163.0," But for the sake of simplicity, we're going to create only one application and we'll attempt to render an HTML page on the browser."
170.0," Alright, so let's go ahead and do that."
173.0," Take a look here inside world tour, you'll find our manage.py."
177.0," Remember, it's crucial not to tamper with manage.py."
180.0, The manage.py file in this case is going to help us creating our application.
