start,text
0.0, Hello and welcome back.
2.0," So far we have learned how to create a project, how to run the server, how to create a basic application, which didn't really do much."
10.5, It has just rendered text to the web browser.
13.0," But don't worry, we are going to get to the exciting parts soon enough."
16.0, But the basics are very important to have a solid foundation.
20.0," Today we are going to expand a little bit, and we will set up the database for our Django application."
26.0, And we are going to focus on using models to represent the data we want to store within our agent towards agency application.
32.0," So if you have noticed, I have a new folder here, lesson 3, my grade SQL like 3."
37.0, I am going to repeat the exact same steps I took the last lesson.
41.0, Actually it is going to be the same structure as the world tour.
44.0, We are going to repeat the same exact steps.
47.0," But first I want to change the directory to lesson 3, my grade, SQL like 3."
55.0, Then I will do a PIP and V shell to activate the virtual environment.
63.0," Alright, perfect."
65.0, Now I want to again install Django.
72.0, Very good.
73.0, Now I want to create the world tour project.
75.0," So I will say Django, Admin, Star, Project, World Tour."
80.0, Then I will see the world tour.
83.0," Oops, world tour."
86.0," Inside world tour, I want to create the application."
89.0, So take a look down here below.
91.0," In lesson 3, my grade SQL like 3."
93.0," If I will click on that, we have world tour."
95.0," Again, we have the project which is world tour."
100.0, And we have the manage.py.
103.0, So we will create our application.
105.0, Python manage.py startapp AsiaTour's agency.
109.0, Great.
110.0, So we have again our project and our application.
115.0," Alright, so we have the exact same structure as lesson 2."
120.0, And the files are exactly the same.
122.0," I've copied everything, so don't worry about any changes."
126.0, But let's go to the important part.
128.0," Initially in AsiaTour's agency application, the model stoppy is empty."
133.0, And you can see that Django tells you here to create your models here.
137.0, So Django encourages us to create our models there.
140.0, Let's say we want to model a tour that includes various destinations across Asia.
145.0, So what we can do is we can define a class called tour.
149.0, Let's do a class tour.
153.0, That's going to inheritmodels.model.
157.0, And models.model basically is providing a structured way to define the fields and behaviors of our database objects.
164.0, So that's the reason why we need to enter models.model as a parameter in the tour class.
171.0," Alright, so next we need an origin country."
175.0, We need a destination.
177.0, So we need a origin country.
184.0, We need a destination.
187.0, We need the number of nights.
190.0, And we need the price for that tour.
197.0," Okay, so these are the fields that we need to create."
202.0, And Django makes it so easy.
204.0, So what I will do is I will declare a variable.
206.0, I'm going to call it origin country.
208.0, And that's going to be the origin country field.
211.0, Right?
212.0, So I will need the models.
214.0, And I will want to access Car field.
217.0, And the character field here has a maximum length.
221.0," So the maximum length for the origin country, I'm going to make it 64."
226.0, Right?
227.0, So maximum length is 64.
230.0, And that means simply that the maximum length of the origin country that's going to be entered is 64 characters.
237.0, Not more.
238.0, So that's an SQL constraint.
240.0," Also, I want the destination country."
243.0, So I'm going just to change that destination country.
248.0, And also it's going to be most dot character field.
251.0," And again, I'm going to leave it to the maximum 64."
256.0," Similarly, I need number of nights and price."
259.0, So I'm going to change that to number of nights.
266.0, So number of nights here is an integer field.
269.0, So an integer field here is used to store the number of nights for the tour.
274.0, We don't need any characters.
275.0, We need an integer.
277.0, So that's going to be integer field.
281.0, And I'm going to leave it empty.
284.0," And finally, I need the price."
286.0, So that's going to be the price.
289.0, Models dot again integer field.
296.0," And again, I'm going to leave it empty."
301.0, All right.
302.0, So this is our tour class.
304.0, And it's actually going to act as a blueprint for our database table.
308.0, It's going to enable you to manage the tour records without manually handling the database operations.
314.0, So that's a little bit of object oriented programming here.
317.0, We can instantiate the class by creating any object.
321.0, So we can create tour one.
323.0, The tour one can have an origin country.
325.0," Let's say Japan, destination country, China, number of nights."
329.0, Let's say seven nights and the price.
332.0," Let's say arbitrarily, $1,500 for example."
336.0, So that's going to be tour one.
338.0, This is the object.
