start,text
0.0, Hello and welcome back. In this video we are going to talk about Django Forms. Django Forms
6.0, simplify collecting and validating user data through an easy to use framework. They automatically
12.5," generate HTML forms and handle the conversion and validation of data. For example, forms"
18.3," are very useful for tasks like collecting data for models, user input validation, or filtering"
24.3," content. And some of the key features of Django Forms is validation. So, forms automatically"
30.580000000000002, validate user input based on specified rules and data types. Forms handles CSRF tokens or
38.620000000000005, cross-site request forgery. This is to prevent malicious submissions of forms. Also reuse.
46.38, So you can define a form once and reuse it across reviews. And this in fact reduces redundant
52.98," code. And finally customization. To personalize your form, you can create custom fields, widgets,"
59.98, and error messages. This is Django official documentation for working with forms. And I highly
66.74, recommend that you read this web page. It's very important. It's going to give you a lot of
72.34, information on how to work with Django Forms. But I'm going to tell you everything about this
78.82, web page in this video. So let's start from the top. Forms are very essential for any
84.58, interactive web application as we mentioned. And in fact Django is generous enough to provide
89.97999999999999, us with robust tools and libraries to create handle and process forms. And if you'll scroll
95.5," down here below, you will find that the page is talking about HTML forms. So you need to know"
102.34, three things in HTML forms. The first thing is the structure. So HTML forms are a collection of
110.26, elements within form tags as you can see here. These tags enable the users to input data and send
117.30000000000001, it to the server. The second thing you need to be aware of is elements. Basic elements include text
123.78," inputs and checkboxes and more complex interactions. In fact, like date pickers, we can use JavaScript"
130.58, and CSS. And last but not least attributes. So forms basically must specify two things. A target URL
140.18," which is the action attribute and also the HTTP method. Whatever the method is, get post, it doesn't"
148.18, matter. But the most important thing is you must have those two things. The target URL and your
155.46," HTTP method. When it comes to Django's role in forms, you need to know that Django simplifies"
161.3," form handling by three things. The first thing is data preparation, which is done by restructuring"
167.46," data for rendering, also creating HTML forms. And this involves generating HTML for forms. And"
174.82, finally processing data. And this includes handling and validating the submitted data. I know all of
180.9," that sounds theoretical to you, but it's very important to understand these principles before we"
185.94," go ahead and start coding our Django form. Django automates much of the form handling process,"
192.34," which makes it very easier and more secure than writing custom code. And to show you all of that,"
198.26, let's go ahead and start coding a simple Django form to understand and appreciate how easy it is
204.02," to create forms in Django. All right guys, so I'm inside the folder called lesson9 Django forms."
210.02," And as always, the first thing we need to do in any Django application we have is to register"
215.86, this application inside our installed app list. So this is the forms project and our application is
221.62, called form underscore app. So I'm going to just type this inside single quotes form underscore app.
230.10000000000002," Then I will go to my application and I will create URLs.py file, hit enter. Then I will go back to"
