start,text
0.0," Now, the last time we have seen that we have properly rendered this HTML page as a test."
8.28, So I'm going to minimize that for now.
10.94, Let me also shut the Integrated Terminal and I will delete this.
15.44, Now I want to show you a new perspective or a new concept in writing HTML pages.
21.080000000000002," If you write applications in Django, most probably that you are going to write a lot of HTML"
25.84, pages.
26.84," If the different pages have common elements such as the header, the footer, maybe a navigation"
32.2," bar, navigation menu, it's going to be very hectic if you're going to duplicate the code"
37.4, in all of the pages.
39.2," First of all, it's not practical."
40.64," Second of all, it's not the smartest way to do things."
44.28, So Django actually allows you to create what we call the Bayes layout.
49.08, Now the Bayes layout is simply a template that serves as a common structure for other
53.56, templates to build upon.
55.48," So say here, for example, we have a home page, we have the product confirm the lead page,"
61.48," product form and product list, but also we have a layout.html page."
66.2, And basically it's going to contain all of the elements that are consistent across all
70.8, of the other pages.
72.36," So for example, we'll have a header, we'll have a footer, we'll have a navigation bar,"
77.24, and so on.
78.24, So we're going to create this Bayes layout and we're going to extend that Bayes layout
82.56, in other pages.
84.48," And in our Bayes layout, we'll have common structure and placeholders called blocks."
89.56, Those blocks are placeholder for whatever being dynamically generated in each page.
94.60000000000001," So let's say that we want the title for a certain page, that's the home page, for instance."
100.60000000000001, And we have a different page for the product form.
103.32000000000001," Instead of writing different titles, we're going to simply insert that in a block form"
108.96000000000001, and based on the title that you're going to give that's going to be auto generated.
113.48, And render whatever the page title is going to be.
115.92, And how we'll do that simply by extending that Bayes layout in the other pages.
121.76," So we'll have in home product to confirm the lead, product form and product list in all"
127.16," of those pages, we're going to extend the layout."
130.76," First of all, I'm not going to do anything strange in that layout.html."
135.96, That's going to be a simple HTML page where I'm going to use Bootstrap 5 and JQuery for
140.72, styling.
142.28," So for the title, I'm going to call that inventory app."
148.48," But now be careful in those title HTML tags, we will need to have those Django template"
153.28, block tags inside curly braces with the ampersand of course.
159.2, And we will have here block and that's going to be title.
162.56," And of course, do not forget to close the block tags with the ampersand and curly braces"
168.36, and we'll type here and block.
172.04, Next I want to insert here that Bootstrap link from CDN.
175.79999999999998, So let me show you that.
177.4," So from this website here, jsdeliver.com package mpm Bootstrap, I want to just take that link."
185.39999999999998, So this one here is for JavaScript and that one is for your link.
190.76," So if you will copy that that's going to copy only, if you will copy the URL, you're"
195.32, going to copy the URL only.
197.04, So what I'm going to do is I'm going to select all the link and I'm going to paste it
201.44, here.
202.44," Alright, and I'm going to leave also the link to the jsdeliver for the CDN because we're"
207.35999999999999, going to use the same thing for JavaScript.
211.23999999999998," Right, so that's as far as the Bootstrap CSS from our CDN page."
215.76," By the way, I might use some styling but we're going to do that later."
219.76," But for now in the body, I want to create an navigation bar."
223.76, This navigation bar will have a class of nav bar and these are Bootstrap classes by
229.44, the way.
230.44, So nav bar class with nav bar hyphen expand.
236.84, So I need a large expandable navigation bar.
240.2, Also I need a dark so that's going to be dark.
243.28, nav bar hyphen dark.
246.23999999999998, Also I need a fixed top for that navigation bar.
248.48," So that's another class by the way, which is called fixed hyphen top."
252.88," Alright, and that has created the navigation bar with all of the needed classes."
257.88," Inside the navigation bar, I need a link or an anchor that's going to be the link for"
263.36, the home page.
264.36, We're going to write simply inventory app if you remember in the demo.
269.72," When you will click it, it will not do anything simply."
271.64, It will take you to the home page.
274.12," Right, so that's going also to take a class and I'm going to say here a dot nav bar hyphen"
282.08000000000004, brand.
282.92," Right, that's going to have a horizontal reference in double curly braces or in curly"
289.68," braces only and double ampersand and inside here, that's going to be the URL for the home"
296.0, page.
297.76, And simply I'm going to type here inventory app.
301.36," Alright, so this is my anchor, my link."
306.08000000000004, Now I need a button.
307.44, This button simply is going to be a toggle or button.
310.64," Right, it's going to toggle the navigation bar on smaller screens."
314.71999999999997," If you're going to resize your screen to be small, when you will click on the top, it's"
320.47999999999996, going to open or expand the menu to you.
323.88, So this is the usefulness of this button.
326.88, This button is going to have a class of nav bar toggle.
331.24, Also it's going to have a type of button.
333.36, The data toggle is going to be set to collapse.
336.56, Also I need data target and that's going to take me to the navigation bar and this
341.38, data target has of course this ID selector nav bar nav.
345.56," When you will click the button, it's going to show or hide that target element."
350.4, The next attribute that I want is something called area dash controls and that's going
356.76, to be set to nav bar nav.
359.16, This area controls set to nav bar simply improves accessibility.
364.8, So this is simply for the button.
367.56, So you will have more control when you will click on the button to show or hide the element
372.40000000000003, with that ID nav bar.
374.56, The next attribute also helps with accessibility and that's called area expanded and I'm going
379.68, to set it to false.
381.16, And this simply indicates the current state of the collapsible content.
384.32, By default we're going to set it to false because we don't want it to be open.
388.96000000000004," When you will navigate to your website, you don't want that button to be opened."
394.08, You don't want it to be expanded I mean.
395.84, You can use the button to navigation bar and in that case the area expandance going to
401.08, transform from false to true.
403.44, And the last attribute is area label and the area label I'm going to set it to toggle
408.88, navigation.
410.47999999999996, And the name explains the function of course this basically provides an accessible label
414.64, for the button.
416.24, And in that button I will need an icon.
418.56, This icon I'm going to just put it in a span.
421.84, This span is going to take a bootstrap class.
424.59999999999997, So span with this class called nav bar toggler icon.
432.35999999999996, Next I want to dive with also a class.
435.56, So it's going to be collapse dot nav bar collapse.
442.59999999999997, And that's going to be a collapsible nav bar content.
445.96, But also I want to create an ID.
448.88, So the ID here is going to be nav bar nav.
454.84, The one that we have actually set it here.
458.48, So this is the nav bar nav ID in that div inside the div I will have the items container.
465.6, So that's going to be in a form of unordered list with a class of nav bar nav.
471.2, And then I'm going to list all of the nav bar items.
474.12, So I'm going to have a list with a class called nav item.
477.48, So that first list is going to have the ad product link.
482.52000000000004, And for that I will need the anchor with the class nav link.
486.32, And the link for that is going to be the product create link.
489.88, And let me show you in the URLs here.
493.16, That product create will need it to put inside our layout.
499.40000000000003, So now you see the idea whenever you will click on ad product that's going to take you
504.8," to that URL here, the product create URL."
507.84000000000003, And I will need another one.
509.52000000000004, And that's going to be for showing products.
513.16, So basically that's going to be the product list.
516.6, So we'll copy that.
517.6800000000001, And let me just put it instead of that product create.
522.04, Just put some spaces.
523.76," All right, that's better."
525.64," And instead of ad product, I'm going to type show products."
531.76, And that's basically everything we need to do for the items.
534.16, That's an unordered list that has two different list items.
538.28," Each one that's going to take you to a different URL, want to add the product and the other"
543.0, want to show all of the products.
545.3199999999999," And after the navigation bar, we will need that container, right?"
549.56, So I'm going to create another div with container class.
555.0, And in that div we're going to dynamically or define a content block that can be overridden
560.68, in the child template.
562.0," So based on each child template, we're going to dynamically generate everything inside"
567.0, that div.
569.12," So as you guessed that, we're going to use the block here."
574.04," And the block, I'm going to change the name for block name."
578.88," Simply, that's going to be content."
581.5999999999999, And we don't need for the end block to write the same thing.
585.4399999999999, So we can leave it like that.
587.6, And that's basically everything for our layout.
