start,text
0.0, Hey guys and welcome back.
4.84, In the last part we have created our database table through our models.py file.
10.200000000000001, We have also created our form through forms.py file.
13.68, In this part we are going to create our views and our URLs.
18.04," Alright, let's go ahead and start by our views."
20.88, The first thing that I want to do in my views.py file is that I want to import the product
26.12," form and the product class from both the form file, form.py file and the models.py file."
34.120000000000005, So I'm going to say here from the current directory forms I want to import the product
40.08, form and also from the current directory models I want.
46.52, I want to import the product class.
49.760000000000005," Alright, now I need different views."
53.24, This application is applying what we call the crud router.
57.760000000000005, So that's going to be a crud router application.
60.6," Crud CRUDD crud stands for create, treat, update and delete."
65.92," So you're going to create a product, you're going to read a product or view a product,"
71.6, you can update your product and you can delete your product.
76.24000000000001, This is the story of any other application that you can use.
80.16000000000001," You can, for example, in any of your social media websites you can create posts."
85.88000000000001," For example, you can read other people's posts, you can update your posts and you can"
90.36, delete your posts.
91.64," So essentially we will need a create view, read view, right?"
99.72, We will need update view and we will need also a delete view.
107.24000000000001," Right, these are the components of our application and also I will need a home view."
114.72, That's going to be only for the home page.
118.76," Okay, so let's go ahead and start by the home page."
124.08, That's the simplest one.
125.32000000000001," So I'm going to create a function, I'm going to call it home underscore view and that's"
130.08, taking the request of course and we're going to render the request and the template's name.
139.08," Now I want to create here in my application's folder, I will create a folder."
144.92000000000002," I'm going to call it templates and inside that templates folder, I will create in app."
152.32000000000002," Okay, inside in app, I'm going to create five different HTML pages."
157.6, The first one is home.html.
161.16, The second one is going to be for the general layout and I'm going to explain that later.
168.56, Also I will need product form.
171.12, So that's very important.
175.84, Also I will need a product confirmed delete.
179.6," So whenever you're going to delete your product, you will have a page, you will be redirected"
184.64, to that product confirmed delete.
186.48, It's going to tell you are you sure you want to delete this item or not?
190.44, So I'm going to call this one product underscore confirm underscore delete.
196.12, That's a long name I know.
198.64, What it makes sense for me.
200.92," By the way, you're free to change all of the names as you want."
205.51999999999998, Just create the names that makes sense for you.
208.04," Also the last one that's going to be the product list, just to view all of the items."
215.6, So these are essentially the four HTML pages that we will create together.
220.72," All right, so let me just close them all and let's get back to our views of pi."
227.92," So for the home view, I will need to go to the in app inside that folder, we have our home.html"
236.72, file.
237.72," All right, and that's essentially my home view function."
242.04, This is going to render the home.html template.
245.52, Now let's go ahead and tackle the next one.
248.12, The next view is of course the create view function.
251.4, This function simply is going to add the product.
254.88, So I'm going to just call it product underscore create view.
265.88, And here I want to instantiate an empty product form.
269.08, Right?
270.08000000000004, So we have our product form that we have imported from the forms file.
274.76, I'm going to use that here and that's going to be a form variable.
280.59999999999997, That's the form object instantiate it from that product form class.
288.08," Next I want to check out if the request method is post, right?"
291.36, So we have done that before together.
294.28, If request.method is equal to post.
299.71999999999997, I want to buy the form data from the request.
304.16," So the form here is equal to the product form taking in the argument, the request dot"
311.28000000000003, the post method.
312.96000000000004," Now once we have this form ready, we want to check out if the form data is valid or not."
317.64000000000004, So I'm going to check out if form dot is underscore valid.
324.12," In this case, I want to save the new product to the database."
328.52000000000004, So form dot save.
331.6, And then we're going to redirect the user to the product list view.
336.44," For that, I will need to import the redirect method."
342.8, So let's get back.
345.0, And here I will return redirect the product list.
353.44," And finally here, I'm going to render with the request in the app, forward slash the"
363.08, product underscore form dot hml.
371.68," And let's not forget the context, of course."
373.96," So the context, that's our dictionary."
376.92," So that's going to be the form, which is equal to the form."
381.6," In this return statement, simply says that if the request method is not equal to post,"
386.8, we will redirect the user to go to the product form template with the form.
392.36, All right.
393.36, And this is simply our create view function.
396.16, The next function that we want to create is the read view function.
399.76000000000005, Now the read view is very simple.
402.16, We're going to query all of the products from the database and render the product list
407.0, hml template with the products.
409.88," So to do that, I'm going to create this product underscore list underscore view function."
417.44," That's taking, of course, the request as usual."
422.56, And I want a variable called products.
426.04, This product is going to take the product class.
429.71999999999997," And we're going to say dot objects dot all, right."
433.92, We are selecting all of the products in the database table.
438.16, And we're going to render inside the folder in app for slash product underscore lists dot
451.52000000000004," hml, right."
454.0," And of course, the context here is the product."
