start,text
0.0, Hello and welcome back.
2.0," In today's video, I'm going to show you how to serve and renderer static assets in Django."
7.0," In web development, static files like CSS, images and JavaScript are crucial for providing a consistent and visually appealing user experience."
16.0," These files enhance the appearance and interactivity of web pages, but they're not dynamically generated by the server, which makes them static."
25.0," And if we're talking about static assets, we have styles, we have images, and we have JavaScript files to be served and rendered in your Django project."
34.0, CSS of course defines the layout and styles of your pages content.
39.0," Also, JavaScript provides interactivity and dynamic behaviors like animations, event listeners, and so on."
45.0," And of course, we have images. Well, I'm sure that you know what images are."
51.0, So why serving static files matters?
54.0," In fact, serving and rendering static files in Django matters for different reasons."
59.0," The first reason is consistency. So you have styles and branding, which are maintained across all of your pages by loading styles sheets and images."
68.0, Also performance. Optimized static files reduce the need to fetch styles and scripts repeatedly.
74.0, And this in fact improves the load time and reduces the server load.
79.0, And the last reason is interactivity. So JavaScript files provide the opportunity to engage users and provide more dynamic content.
88.0, That's awesome. But what is Django's approach to static files?
93.0, Django's approach to static files actually includes static file storage.
97.0," And when I say static file storage, I mean the static files doors in your settings.py file."
104.0, This in fact allows you to specify where static files live in your project's file structure.
109.0, Also templates and URL tagging. And we have coded together the last video using the Django template language with those curly braces and ampersand.
119.0," Like this one here, for example, curly braces double ampersand load static."
124.0," And in this video, I'm going to show you where we can put the load static in our HTML file."
129.0," So this load static syntax, for example, is used to reference the files dynamically in HTML templates."
135.0, And this effectively ensures a robust and maintainable system.
138.0, This was a quick presentation. Now let's go ahead and create a simple Django web page that's going to utilize those static files effectively.
146.0," And we'll include images, styles and JavaScript code. So let's throw a post leaves and get started."
152.0," Alright, so inside my main folder here Django course and I have a sub directory called lesson8 static assets."
160.0, I want to make sure that I'm inside that folder static assets.
166.0," And of course, I want to activate the virtual environment. In order to do that, of course, I'm going to use the PPNV shell command."
175.0," Good, control L to clear the terminal. I want also to install Django using PPNV."
190.0, Awesome! So control L to clear the terminal. Now I want to create a project and I'm going to call my project Django underscore project.
200.0," Good, now let's see D to that Django underscore project."
206.0," And inside here, notice that I have another folder called Django project and manage the Py command line."
