start,text
0.0, Hello and welcome to the final project of our Django course.
6.68, We're going to put everything we've learned into practice.
9.92," We will build an inventory management system, and if you recall, in the first video of"
14.120000000000001," the course, I've shown you a demo of that project, how the inventory management system"
18.72," works, covering a lot of tasks in your website."
21.76," That includes adding products, viewing the list of products, updating product details,"
26.8, or deleting any product that you want to take out of the list.
29.76," Now for styling, we're going to use Bootstrap 5 integrated with Django CresP forms."
34.800000000000004," This project is going to be divided into two parts, the backhand and fronthand."
40.0," For the backhand, we're going to focus on the server setup, databases, and then we're"
44.400000000000006, going to move to the frontend to create the HTML pages.
48.6," And finally, we're going to bring everything together to see our application in action."
53.0, Now Django CresP forms is a popular Django application that helps you manage Django forms
57.64, in a more elegant and dry way.
59.84, Dry here stands for Don't Repeat Yourself.
62.52, It allows you to define your forms using Django's form classes and then easily render them
67.60000000000001, in your templates with custom styling.
70.44," As far as CresP bootstrap 5, this is an extension of Django CresP forms that will specifically"
75.96000000000001, focuses on integrating bootstrap 5 styling into Django forms.
80.36," And with that out of the way, let's go ahead and start creating our project."
83.84, The first thing that I want to do of course is to activate the virtual environment by
87.58, typing Pppnv shell.
91.08, That's good.
92.08, Control L to clear the terminal.
94.0, Now I want to install Django inside my project by typing Ppnv install Django.
101.08000000000001," Alright guys, awesome."
104.16," If you will take a look to the pip file, you will find that for now we have only Django"
108.84, installed.
109.92, We will need to install a couple of dependencies for Django CresP forms and CresP bootstrap
114.92, 5.
115.92, So let's go ahead and do that.
117.76," Let's get back to the website where I can just copy this, install Django CresP forms"
123.04, and get back to my terminal here and we'll do pipnv and then I will paste that install
129.24, Django CresP forms.
134.04, The next dependency that I will need is the install CresP bootstrap 5.
139.36, So I can copy everything and I can paste that in and I will change from pip to pipnv.
146.36," Alright, great."
149.36, Let me just shut that and take a look.
151.64000000000001, We have Django Django CresP forms and CresP bootstrap 5 dependencies installed in our project.
158.24, Now we are ready to start creating our project.
160.92000000000002, So let me open again my integrated terminal.
163.8, So I'm going to use Django admin command line to start the project and I'm going to call
170.56, my project I and V project.
175.88000000000002, Let's change directory to I and V project.
179.84," Now if you will take a look to our components, let me just minimize this a little bit, control"
184.0, L and LS.
186.12, Now if you will take a look we have of course manage the pi command line and our I and V project
191.52, folder.
193.12, So I will do Python manage the pi start app and I will create my application.
200.24, I will call it I and V app.
202.12, So we'll have I and V project and I and V app.
206.28, Now let's list the components of our folder and we have our I and V app I and V project
211.08, and manage the pi.
212.68, Awesome.
213.68, Now let me go to my I and V project here and to the other folder I and V project to settings
220.36, the pi.
221.36, Let me just close that for now.
222.88000000000002, We don't need that.
224.20000000000002, Now in installed apps I will need to add three different things.
227.56, Of course the first thing I will need to add is my I and V app.
234.52, The second application that I will need is crispy forms.
238.0, So that's going to be crispy underscore forms and the third one is crispy bootstrap
245.36, five.
246.36, So type that crispy underscore bootstrap five.
252.12, Alright and we are done with the installed apps part.
255.8, Let me just go down here below and I want to make sure to specify the crispy template pack.
262.52000000000004, This is very important if you're going to use bootstrap five.
265.72, So I'm going to declare this variable crispy underscore template underscore pack.
272.72, It's going to be equal to bootstrap version five.
277.48, This is the latest bootstrap version by the way.
280.68, And we are actually done with settings the pi.
283.24, Now let's go ahead to the in app folder and let's start by creating our models.
291.96000000000004, Now in the models we will need to create a product table in our database.
296.64000000000004, This is the first step.
298.2, Of course we will need to set up our database to store the products with the different ID
303.2, numbers.
304.2, So for that I'm going to create a class.
306.71999999999997, Just increase the font a little bit.
309.2, Right so I'm going to have a class and I'm going to call it product and I'm passing
