start,duration,text
0.0,15.36," All right, so let's begin today's lecture."
15.36,2.240000000000002, We have only two lectures left.
17.6,5.719999999999999," This one and next Monday, I realized that there are no more deliverables for this class,"
23.32,1.0, right?
24.32,2.4400000000000013," No more quizzes after tonight, no more presets."
26.76,1.879999999999999, So I do appreciate you coming to these lectures.
28.64,3.8400000000000034, They're intended to be a little bit more fun.
32.480000000000004,3.3999999999999986," No need to take notes, just kind of sit back and enjoy the content."
35.88,5.799999999999997, Today we're going to be talking about library and Python that can help you do plotting.
41.68,3.6400000000000006, And the reason why we talk about this plotting library as opposed to something else that's
45.32,4.479999999999997," maybe more machine learning or something else like that is because at one point or another,"
49.8,5.760000000000005," if you decide to take any other course that kind of builds upon this intro course, you'll"
55.56,4.039999999999999," probably want to create some graphs or visualize something, right?"
59.6,4.240000000000002," Even if you do a Europe, you'll probably have to visualize some sort of data."
63.84,5.840000000000003, And it's a really nice next step to show you how to use a library that already exists.
69.68,4.679999999999993, So somebody already put in the work in creating this library that can plot things for us.
74.36,2.960000000000008, So let's just try to use it.
77.32000000000001,6.0," And so it's just a really, really nice way for us to kind of wrap up the course by showing"
83.32,2.9599999999999937, this visualization library.
86.27999999999999,5.560000000000002, So the library we're going to do to use is called Matplotlib.
91.83999999999999,4.760000000000005, And it's kind of the most basic plotting visualization library that we can have.
96.6,4.079999999999998," And the way that we bring it into our code, just like we have in the past few lectures,"
100.67999999999999,3.1599999999999966, is with this import statement.
103.83999999999999,5.640000000000001," And the actual file that comes into our, that we would bring into our program is called"
109.47999999999999,2.5200000000000102, matplotlib.pyplot.
112.0,1.9599999999999937, Now that's kind of a mouthful.
113.96,8.000000000000014," And a lot of times when we want to use this library, you'd have to basically say matplotlib.pyplot."
121.96000000000001,2.4399999999999977, .function name from that file.
124.4,2.9199999999999875, And so that's a lot of writing and a lot of typing.
127.32,5.280000000000001," So when we bring it into our, when we bring in this library into our own file, we can actually"
132.6,1.240000000000009, rename it.
133.84,7.359999999999985, So as PLT tells Python that now I would like to refer to this file and this library as
141.2,1.8400000000000034, the name PLT.
143.04,6.199999999999989," So if we ever want to call functions or maybe objects and things like that from this file,"
149.23999999999998,2.719999999999999, we would do it using PLT.
151.95999999999998,2.3600000000000136, And then the name of whatever we want to use.
154.32,5.199999999999989, So it's just a much nicer way to grab the contents of the file instead of always writing
159.51999999999998,1.7600000000000193, matplotlib.pyplot.
161.28,1.0, Something else.
162.28,2.0," Yeah, question."
164.28,2.280000000000001, You can think of it as a variable name.
166.56,1.799999999999983, It's anything you want it to be.
168.36,3.3600000000000136," So you can import it, matplotlib.pyplot as Anna."
171.72000000000003,2.6399999999999864," And then from there on, you can say Anna."
174.36,2.5600000000000023, Process name or plot or whatever it is.
176.92000000000002,5.359999999999985, So it's just whatever name you want to get.
182.28,1.0, Okay.
183.28,6.160000000000025, So there are other visualization libraries that exist out there.
189.44000000000003,3.2399999999999807," A lot of them, or all of them, build upon this one."
192.68,3.319999999999993, So this is kind of the most basic library that you can get.
196.0,5.759999999999991, And the other ones that exist build upon it by kind of doing some things behind the scenes
201.76,6.159999999999997," to maybe make your lives easier, or to do some really cool visualizations, or maybe things"
207.92,4.920000000000016, where you can like hover the mouse over a coordinate and things like that.
212.84,2.4799999999999898, But we don't need to do any of that at this time.
215.32,4.920000000000016, It's just nice to take a look at this really basic visualization library.
220.24,4.1200000000000045," So throughout the lecture, we're going to look a little bit at some code."
224.36,6.199999999999989," We're going to run it on the Python file, and we'll just talk about it on the slides."
230.56,7.0," So whenever we're plotting things, we need to tell Python a set of x values and a set"
237.56,1.3200000000000216, of y values.
238.88000000000002,1.0, That's pretty common.
