start,text
0.0," Okay, so let's get started."
20.28, Today's lecture will be the last one we have on object-oriented programming and creating
26.36, our own data types with Python classes.
30.0," So in today's lecture, we're going to go through an example that's sort of more involved."
35.84, We're going to be creating our own fitness tracker object and specifically we're going
40.96, to create a class for that implements the idea of a workout.
46.16, And the slides for today are going to feel very similar to the slides from Monday's lecture.
51.2, A lot of them are just kind of reinforcing the same ideas we saw last lecture on creating
58.6," getters and setters, creating class variables and the idea of inheritance."
63.6," But we're just going to do it in the context of this more involved example, the fitness tracker."
71.08, So let me remind you first of all something we've been talking about and hopefully you
76.2, understand at this point in our lectures on object-oriented programming.
81.60000000000001," And that's the idea that when we write our own object types, we're writing code from"
86.44," two different perspectives, right?"
88.52000000000001, The first perspective is the one on the left-hand side here where we are making design decisions
93.2," for how we want to implement this new object, this new data type."
97.96000000000001," And when we make these design decisions, we decide the name of the object, we decide"
101.88," the attributes, which are either data or procedures, that we want the object to have."
108.24," And then once we've decided on this and we've implemented our data type, then we can"
112.96," start to use the data type and to use it, we are creating a whole bunch of objects of"
119.8, this type.
121.24, And we're manipulating these objects in some interesting and useful way.
125.64," So the left-hand side we're creating is blueprint, this abstract notion of an object, and"
130.6," the right-hand side we are creating actual instances that we manipulate, right?"
135.07999999999998," So up until this object-oriented set of lectures, we've really just been working with the right-hand"
140.6," side, right?"
141.6, We've been working with objects that other people have created.
144.28, But the big idea of these set of lectures is that we now get to create our own object
148.64, types so we get to write this code here.
151.44," Okay, so we're going to write code to create a tracker for workouts."
159.12," And today's lecture, there's going to be a sequence of things that we're going to do."
163.92000000000002, We're going to start out with a really simple workout object and then we're going to improve
167.24, on it.
168.24, So I've actually set out a little roadmap here on the board that we can follow.
172.48000000000002," So every time we finish a little section, we'll check it off so it's just easier to understand"
176.96, where we are in today's lecture.
179.68," So we're going to create first just a very simple workout object, sort of in the same"
183.88," spirit that we've created, we've been creating objects."
187.32, Then we're going to improve on it a little bit by adding nicer methods and things like
192.68, that.
193.68, And then we're going to go through the idea of inheritance to create very specific types
197.35999999999999, of workouts.
198.35999999999999," So if we think about workouts, we have many different kinds of workouts, right?"
203.51999999999998," We've got biking, swimming, running."
206.96," But really at the core of all these workouts, right?"
210.08," If we think about sort of the information related to just a very generic workout, not"
214.56," a running or swimming specific one or biking one, just a generic workout, there are some"
220.4," common properties that all of these workouts have, right?"
224.28," So I've listed them here, right?"
227.08," The workout might have an icon associated with it, right?"
230.04000000000002," So this, this, this, but whatever it may be, there is an icon sort of property for a workout,"
237.24," the kind of workouts, so biking, swimming, running, things like that."
241.24," A date, so maybe a start date and an end date, start time, end time, that kind of information."
246.88," The heart rate, maybe average heart rate throughout that entire activity, the distance, and"
253.64000000000001," the number of calories burned, right?"
255.56, All of these properties are common to any kind of workout that we might want to create.
261.64," But now that we have specific kinds of workouts that we might want to create, we can"
267.2," actually think, well, in addition to these common properties, a swimming specific workout"
272.08," might actually have some more information that we'd like to save, right?"
276.44, And we'd like to allow the user to work with.
279.08," So the swimming pace, maybe the stroke type, the hundred-year splits, things like that"
282.59999999999997, for swimming.
284.15999999999997," And for running, we might want to show the user the cadence, the running pace, the mild"
288.0," splits, and maybe the total elevation throughout that run."
292.96, But the idea here is that we have some core set of properties that no matter what kind
297.12," of workout we're creating, we would like to save and we would like to allow the user"
303.0, to store and to do operations with.
307.2," Now when we implement our workout class, we're not going to implement all of these."
310.8, They're not all necessary.
311.8, We're going to just keep some of the core ones.
314.32," So the ones we're actually going to implement in this class are italicized, right?"
318.88," So we're going to keep the icon and the kind of workout, the start time, end times, and"
324.16, then the number of calories burned.
325.84, That's something that we're going to just save as a really common set of attributes for
331.15999999999997, a workout.
332.15999999999997," But of course, you can see that if you make the design decision to improve upon this workout"
336.2," class, you might include a bunch of these other ones as well."
340.67999999999995," Okay, so we're going to have to decide the data attributes."
345.91999999999996," So we just mentioned on the previous slide, right?"
348.08," When we make design decisions, we figure out the attributes that we'd like to have for"
352.44, our object type.
353.72, So that's the data and the behaviors.
356.04," For the data for a workout, we've decided it would be the start time, the end time, and"
360.44000000000005, the number of calories burned.
362.16," So those three things together, maybe start time is a string and time is a string and"
366.84000000000003," calories is a number, right?"
368.36," Either a float or a hint, whatever."
370.68, Those three things together make up the object a workout.
376.20000000000005," And then in terms of functional attributes, so these are the methods that our object might"
380.68, have.
381.68," So we can have, of course, the ability to tell us the number of calories burned, so"
387.0, something like a getter method to set the number of calories burned if we accidentally
391.76," inputted the wrong number, reset it, and then maybe something like displaying an information"
397.44," card, right?"
398.44," So something like this, if the user asks us to print a workout object, we might display"
404.4, information in this nice manner here.
407.4, Okay.
409.23999999999995, All right.
409.91999999999996, So let's start defining our class.
411.96," So this is a very simple workout class, so we're going to do the box number one up there"
416.76, before we improve on it.
418.12, So this is in the same spirit as we have been defining classes in the past three lectures.
424.0," So we tell Python, we're creating a new object by saying this is a class, and the name of this"
430.08," object, so the type of this object is workout."
432.84, Okay.
433.84, And the parent of this object is the generic Python object.
437.44," So far so good, right?"
439.56," Now the first method we have to implement is the init method, right?"
442.76," It tells Python how to create an object of type workout, the constructor, and we've got"
448.4," a bunch of parameters in here because it's just a regular function, that's a little bit"
452.48, special.
453.64," The first parameter of every method is, of course, self, right?"
457.48," Because when we call a method, we call it on an object, right?"
461.64," So some object dot this method name, the thing before the dot effectively gets mapped"
467.96," to the variable self, which is why every one of these methods has self as the first parameter."
474.03999999999996, And then we've got a whole bunch of other parameters for how we would like to initialize
477.52, a workout object.
479.0," So we're going to say when we create a workout object, we're going to tell it the start"
484.12," time, the end time, and the number of calories burned."
487.88, Okay.
489.88," So that's the function stub, I guess, that's how you create the object."
495.76, And then what does this function actually do?
497.92, What does this method actually do?
499.92," Well, it does some of the usual things that we know at this point."
504.56," So it basically maps every one of these input parameters to data attributes, self dot start,"
510.44," self dot end, and self dot calories."
514.76," But in addition to just saving these as data attributes, the things that are passed in"
519.64," when you create the object, we would like to do two more things."
522.76," We're creating two more data attributes, right?"
525.52," So in total, a workout object is defined by five data attributes."
530.28," These last two data attributes, we don't need to pass in, right?"
533.84," We're just going to, by default, make them two strings."
538.32," The icon is going to be the string, this sweating person emoji, right?"
544.28," And you can have emojis inside strings, which is actually pretty cool."
548.28, The kind is going to be just the kind of workout.
550.8399999999999, So we're just going to set it to be the string workout.
553.0," When we create running workouts, it'll just be the string running."
555.88," When we create biking workouts, it'll be a string biking, right?"
558.4, Whatever you want it to be.
560.12," And we're going to see where these, where these shrub later on."
563.64," Okay, so that's the definition of my class workout."
566.8399999999999," And then for now, that's it."
569.28, That's all we have in terms of the class definition.
571.8, Now what happens when we create an actual workout object?
574.92," Well, we invoke the name of the class."
577.36," So we say here, workout, right?"
580.88, And we're going to save this object to the right-hand side of the equal sign
584.88," as variable my underscore workout, so far review."
589.48, We pass in the parameters that the workout object expects.
593.6800000000001," So here's a string representing the start time, a string representing the end time,"
597.96," and the calories burned for this particular workout, 200."
604.6," Yes, good."
606.72, Okay.
608.52," So then we can add a whole bunch more methods to our class, right?"
612.9200000000001, That was just the init method.
614.6," But last lecture, I mentioned that it's important to add getters and setter methods"
620.4, to allow the user to grab or set various data attributes.
625.84, So here I've got three getter methods to grab for me the calories start time and end time.
630.8, And three setter methods to set the calories start time and end time.
638.8, All right.
641.3599999999999," So what I wanted to show you, and this is not something we've actually seen before,"
645.3199999999999," I wanted to show you that every time you create an object of some type,"
650.56," or even an object that already exists, you can actually look into sort of where"
655.88," this object is stored in memory, which is kind of cool."
659.76," So if we think about the class definition that we've done so far,"
663.4399999999999," so not creating an actual instance, just defining the class, right?"
667.88," This class definition is actually kind of like an object stored away in Python memory, right?"
674.16," So here I have my workout class and associated with my workout class definition,"
679.68, Python known was about all of these methods that you're allowed to do with this Python class.
686.2, And this is called the class state dictionary.
688.64, So it's a dictionary that basically holds the state of your object.
692.88, So I wanted to show you what that looks like in code.
696.4, So this is my workout class.
698.68, And the way you access the state dictionary is by invoking the name of your class.
704.04," So not an instance, the name of the actual class dot this dunder method,"
709.24," double underscore, double underscore."
711.48," So this holds the dictionary, the state dictionary."
714.96," And if we just access the keys, we're going to see here every single method"
720.0400000000001," we've defined in our class, right?"
722.8000000000001," So you see here, here's my dictionary."
724.48," I could cast it to a list if I wanted to, but not necessary."
727.6800000000001," But you can see every single method that we've defined, right?"
730.4000000000001," So all getters, all our setters, the init method, the double underscore doc,"
735.96, actually grabs for us this doc string that you've put right under the class definition.
745.36, Right?
745.8000000000001, So that's kind of cool.
747.2800000000001, So that's the dictionary keys.
748.84," And of course, as we know, keys have values associated with them."
752.32," So the values associated with each one of these keys is going to be, and we can see here."
758.8000000000001," So for example, the value associated with the doc string is going to be literally"
765.8000000000001," the thing that I printed out, right, the little doc string that I put right underneath my class definition."
773.2, So now it knows the doc string for this class that I just created.
777.08, And the values associated with my getter methods and my setter methods and
781.1600000000001, init method and all the methods I created are just the locations and memory
785.32, where Python can find these methods to run.
788.08," Right? They don't have actual values with them, of course, associated with them."
791.2," Of course, because they're just method definitions."
794.0400000000001, But Python just knows where to go in which memory location to actually run this function.
799.96, Okay?
801.84, So that's kind of cool to know.
807.9200000000001," Okay, so that's the state dictionary of my definition, right?"
811.76, The implementation of my class.
814.48," Now, what happens when I create an actual instance?"
817.2," Right? So here I've got my workout equals, and now I've got this actual instance of this class type workout."
825.4," When Python sees this line, it says, okay, what kind of object do you want to create?"
830.68, So it's a workout object.
832.28, It looks at the init method of that workout object.
835.64, And then it runs all the lines associated with that workout object.
838.5999999999999," So now it creates a new object in memory, puts that at some memory location."
844.4399999999999, This object is going to be of type workout class.
848.7199999999999, And now this object is going to have its own state dictionary.
852.8399999999999," Where in the object state dictionary, we're not storing methods or things like that."
857.56, So storing the actual data attributes associated with this object.
862.1199999999999, Right?
862.9599999999999," So this object of the data attributes are all the things that you access via the self.keyword, right?"
868.3599999999999," Self.icons, self.kind, self.start, self.end, and self.calories."
873.3599999999999, So we can actually go in the code just like we did when we looked at the class state dictionary.
878.68," And look at the state dictionary for one specific object, one instance."
883.88," So again, we can call the double underscore, dict method on this instance."
889.64, So now I have an actual object that has some values associated with it.
893.88," And if I look at just the keys, we see these are the data attributes associated with an object of type workout."
901.08, Right?
902.08, I've got my five data attributes.
904.08, And then the values associated with those keys are going to be the values that are specific to this object.
911.08, Right?
911.8," So my start is this date here, my end is this date here."
915.8," Calories was 200, the icon was the low sweaty person emoji, and the kind of workout is to work."
921.0, Right?
923.0," So it's kind of neat to be able to look into that sort of detail of where things are stored inside, inside memory."
933.8, Okay.
935.0," So we saw how to create an instance of an object, and we can create a whole bunch of workouts that we then store."
941.4, Right?
942.4, And then we can use Donotation to access all of these attributes.
946.1999999999999, Right?
947.1999999999999," So we can either access attributes directly, or we can access methods."
950.4, Right?
951.4, We already know this.
952.4," So last lecture, I said that you can use Donotation to access data attributes."
958.0, So here we're accessing the Calories value.
961.0, Right?
962.0, And that's fine.
963.0, But what's preferred is to use the getter methods.
966.6, Right?
967.6," So the calories will, in this particular case, return the exact same value as just accessing the Calories data attribute."
974.2, Okay?
975.2, But the note that I made last lecture was that it was better to use a getter method because the implementation behind the scenes might change.
984.6, Right?
985.6," And if the implementation changes, then if you access the calories method directly, or sorry, the Calories data attribute directly, your code might crash."
995.6," Not only that, somebody who's writing a getter method for this workout function might actually make that method be a lot more complex, complex than just returning that data attribute."
1008.0, And that's what we're going to see in the next slide.
1010.0, Right?
1011.0, So the idea behind using these consistent methods instead of accessing using data attributes is that you want to keep information hidden.
1021.2, Right?
1022.0," So I want to start messing around with looking at how something is implemented because that goes against the principle of abstraction, modularity, and information hiding."
1030.6, Right?
1031.6, You want to keep things hidden because you want to use the objects that somebody else has created in an isoconsistent manner.
1038.6, The way we use them in a consistent manner is by always using methods that are associated with that object type.
1046.2, Okay?
1047.2," So using getter methods might have seemed inconsequential when we wrote like the animal class last lecture, but it's going to seem, it's going to be a lot more important in this particular lecture."
1058.0, Okay?
1059.0," So with that, we finished our simple workout class."
1064.2, And now we're going to change the implementation just a little bit.
1068.8, Right?
1069.8, And what we're going to do is we're going to make a change to the way that we store the information.
1076.6," We're going to use a class variable, and I'll remind you what a class variable is in the next slide."
1081.3999999999999, And we're going to make a change to the get calories method.
1084.6," And we're going to allow the user to say, hey, I'm going to create this workout object."
1092.2, But I don't know about you.
1093.8, I don't know how many calories I burn.
1096.2, Right?
1096.3999999999999," When I do a workout for, you know, 40 minutes."
1098.8, Right? I don't know that right off the bat.
1101.0," So if the user doesn't supply the number of calories burned, we're going to have our get calories method kind of estimate those calories burned based on the duration of that workout."
1115.0, Right?
1116.0," So we're going to allow the user to either supply the number of calories, in which case they probably know what they're doing."
1122.4," And then when they ask us to get the calories, we're going to use those."
1127.8000000000002, Or we're going to allow the user to not supply the number of calories and instead estimate those calories based on the duration that they said this workout lasted.
1139.6000000000001, All right.
1140.1000000000001, So that's the big change that we're going to do here in the workout class.
1144.2, Right?
1144.4, So we're going to do a better get calories method.
1147.3999999999999, All right.
1147.8, So this is the new implementation of my workout class.
1153.0, First thing you'll notice is we're using this class variable.
1158.3, Right?
1158.5, We talked about this last lecture when we did the rabbit's example.
1163.3," In the rabbits example, we had each rabbit change this class variable value."
1169.8999999999999," In this example, I'm not going to change this class variable value."
1173.8, I'm actually just going to use it as a variable that's that every one of these instances is going to be able to access.
1180.6, Right?
1180.8," And I'm just not going to change it, which is fine."
1183.5, You don't have to change this class variable.
1187.3999999999999, So this class variable will represent how many calories per hour are are burnt.
1192.3999999999999, Okay.
1192.8999999999999, So just a number.
1194.8," And then the init method and again, we're going to make a different init method than what we saw in the previous slides."
1201.1, The init method is going to be new and improved.
1203.8," We're going to take in still the same number of parameters, but the calories are going to have a default value."
1211.1999999999998, Right?
1211.6999999999998," So if the user actually passes in the number of calories, the value for calories here, self-dot calories will be whatever the user passed in."
1220.1999999999998," But if the user doesn't pass in the number of calories, then this parameter here, self-dot calories will be none."
1228.6999999999998, Right?
1229.7," And then we're going to be using, being used to represent the absence of a value."
1234.4, Okay?
1235.4, So two options here when we create the object.
1239.5," Other things you might notice is that the self-dot starts, so the start time and the end time are no longer just start and end."
1248.3, Okay.
1250.4, I'm going to talk about this on the next slide.
1252.4, But essentially what I'm doing here is I'm saying the start and end will be passed in as strings.
1259.3," That's like we have been in the past, right?"
1261.1," Like September 1st, 2022, 1.35 pm."
1264.3999999999999, That's fine.
1264.8999999999999, We can still pass in the start time as a string.
1268.2," But when I'm storing it inside my object, I'm actually going to store it as whatever this thing gives me."
1275.2," And this thing is actually going to be returning or parsing the string as a new data type, something we've not worked with before called a date time object."
1286.8999999999999, We're going to look at this on the next slide in a little bit more detail.
1289.7," But for now, all we need to know is that the self-dot start and self-dot end will be a new data type, a date time object."
1297.7, Okay.
1299.7, So that's my knit method.
1301.0, So a few changes.
1303.1," Now my get calories method will look a little bit different as well, right?"
1307.8999999999999," We're not just returning self-dot calories like we had in that simple workout class, right?"
1314.5, We're going to do a little switch.
1316.8000000000002," So if the user supplies the number of calories, so if the calories here were actually passed in, then we don't resort to the calories being done, right?"
1329.5, Calories will be 100 or 450 or whatever it is.
1333.0," And then this if statement is false, so we go on the else and we just return that value."
1338.3000000000002, So it's exactly the same behavior as in my simple workout class from back there.
1344.1," But if the user does not supply the number of calories when they create an object, then the calories will be none here."
1351.7," When I create my object, the data attribute self-dot calories will be none here."
1356.2," So when I ask the workout to tell me how many calories I burned, we're going to go inside the if statement and we're going to do something."
1368.0, The thing we're going to do is subtract the end time minus the start time.
1374.1, Okay.
1375.9," And something like this is allowed on a date time object, but obviously not allowed on strings, which is why I'm converting these strings representing a date and a time into this date time object."
1389.6," This date time, this subtraction here gives me something like something that's called a time delta object."
1397.9, And it's just a new type of object.
1399.8000000000002," We haven't really worked with before, but it's an object type that we can run a method on."
1406.1000000000001, And the method is going to be the total seconds.
1409.6000000000001," So for this time delta object, so 10 minutes or 18 minutes or whatever it may be, if we run this method called total seconds, it will tell us how many seconds are in that time delta object."
1420.5, Divide by 360 to tell us the number of hours and then multiply by the class variable calpere hour will tell us how many calories were burned in that elapsed time.
1434.5, Okay.
1437.0, Yeah.
1441.5," Oh, workout dot is just this thing here."
1444.0," Workout dot calpere hour, that's just this."
1446.5," And then we multiply by that, yeah, that number."
1450.5, Questions about that?
1457.5, Okay.
1458.5, So essentially this is going to do the estimation for us for how many calories were burned in some number of hours or some number of minutes.
1466.0, Now let's demystify this start and end time stuff.
1469.5, Okay.
1470.5, So the way that we are converting to this string to a date time object is by using this library up here.
1480.5," So a library is a collection of objects, a collection of maybe also functions that all deal with the same type of things."
1489.5," So in this particular case, they all deal with dates and times and manipulating dates and times and things like that."
1495.5," In the last lecture, we saw an example of a library, that random library that allowed us to do operations with random numbers."
1502.0, So it's just a nice collection of functions and objects that deal with one sort of common thing.
1508.0," So in this particular case, there is a function inside that library, this parser dot parse function that takes in a string and can parse it to this date time object."
1522.0, Okay.
1523.0," So if we print the type of start date and the type of end date, it will show us that it's this type date time thing."
1530.0, Okay.
1530.5," So it's a new object type, we haven't worked with it yet, but it's an object type like a list is, like a dictionary is, like our workout is."
1538.0, Right.
1539.0, And so the reason why we're doing the kind of version is because we don't want to deal with the messy part of grabbing in a string and then figuring out how long the lapse time is based on date time.
1551.0, Based on just parsing characters throughout this string.
1554.0, Right.
1555.0, I certainly don't want to do that.
1556.0, But you know what?
1557.0, Somebody who was passionate about doing that did it in this nice little library for us.
1562.0," So all we're doing is just reusing the work that they've done, right, to save it as this object."
1568.0," And then they basically said, let me implement the minus sign to work with objects of type date time."
