start,duration,text
0.0,13.34, All right.
13.34,1.8600000000000012, Let's begin today's lecture.
15.200000000000001,6.4," So last class, we began our adventure with creating our own data types."
21.6,5.199999999999999, Today we're going to start off with a little bit of a recap just to remind you some of the
26.8,2.7600000000000016, details about creating our own data types.
29.560000000000002,3.519999999999996, And then we're going to build upon that coordinate class.
33.08,2.1600000000000037, We started in a last class.
35.24,6.039999999999999, We'll build a circle class and then we'll build some fraction data types.
41.28,0.1599999999999966, All right.
41.44,7.240000000000002, So the first thing I'd like to mention is to remind you guys about sort of writing code from
48.68,1.9200000000000017," these two different perspectives, right?"
50.6,5.520000000000003," So just like when we wrote functions, we were kind of writing the definition of the function,"
56.12,4.0, telling Python we have this function that we're defining abstractly and this is what
60.12,1.0, it does.
61.12,4.000000000000007," And then we were calling the function later on in a program many, many times."
65.12,6.079999999999998, Well the same idea exists now that we're creating our own data types.
71.2,3.8799999999999955, We have to write code from the point of view of somebody who's implementing the class.
75.08,5.8799999999999955, So deciding all of these details that goes into creating the class itself versus somebody
80.96,5.640000000000001, who's just using a class that's already been written where we create instances a bunch
86.6,4.039999999999992, of different objects that just happen to be this data type.
90.63999999999999,3.5600000000000023," So when we implement the class, what were some of the things we did?"
94.19999999999999,4.0800000000000125," Well, we're telling Python that this object now exists."
98.28,4.47999999999999," We're telling Python the name of the data type that we're creating, something we choose."
102.75999999999999,4.480000000000004," We're deciding, we're making these design decisions where we decide what attributes"
107.24,1.0799999999999983, make up our class.
108.32,4.319999999999993," So the attributes are either data, like the properties, what are the variables that make"
112.63999999999999,5.280000000000001," up your object, and the behaviors through methods."
117.91999999999999,1.4000000000000057, So that's implementing the class.
119.32,4.8799999999999955," And then when we're using the class, we're now saying, all right, let's assume that this"
124.19999999999999,1.8000000000000114, class definition exists.
126.0,4.079999999999984, There's this object that has these behaviors and these data attributes.
130.07999999999998,4.760000000000019, Let's now create a whole bunch of objects that are of this type.
134.84,3.759999999999991, And this is when we're creating these instances and then manipulating all of these instances
138.6,2.920000000000016," by running methods on them, things like that."
141.52,4.1200000000000045," So when we're implementing the class, right, this thing on the left-hand side, we're"
145.64000000000001,6.759999999999991," basically telling Python in abstract terms, what are the common properties and behaviors"
152.4,1.6399999999999864, of our data type.
154.04,4.400000000000006," And then when we're using the class, the thing on the right-hand side here, we're creating"
158.44,6.200000000000017, actual objects with very specific values for their data attributes that we can manipulate
164.64,2.3600000000000136, in different ways.
167.0,4.759999999999991, So let's remember this coordinate class that we wrote last lecture.
171.76,3.719999999999999," This is not new, but I will just go over it real quick."
175.48,4.47999999999999, So first line here tells Python we're creating a new data type.
179.95999999999998,5.1200000000000045," Its name is coordinate, and this keyword class tells Python we're creating the data type."
185.07999999999998,5.680000000000007," The parentheses here is object, which stands for the Python object data type."
190.76,2.960000000000008, So it's something really generic.
193.72,4.47999999999999, And this in the parentheses here is the parent of our class.
198.2,5.560000000000002," So anything that a regular Python object can do, the very basic things our class can do"
203.76,1.0, as well.
204.76,5.0," Last lecture I mentioned, an example of such a basic thing is to take a variable name and"
209.76,4.439999999999998, assign it to an object type that we create.
214.2,5.039999999999992, The very first method that we should write for a new data type that we create is the init
219.23999999999998,1.0, method.
220.24,7.8799999999999955, This I called a dunder method because it starts with double underscores before the init and
228.12,1.8400000000000034, ends with double underscores after the init.
229.96,5.680000000000007," That's the actual name of this method, double underscore init, double underscore."
235.64000000000001,2.719999999999999, So this method is like a constructor for the class.
238.36,4.039999999999992, It tells Python how do you create an actual object of this type?
242.4,3.039999999999992, So it's a function.
245.44,3.640000000000015, It's just a function that works only with objects of type coordinates.
249.08,3.4799999999999898," So as a function, it takes parameters."
252.56,5.520000000000039," You can see it takes three parameters here, the self, the x and the y."
258.08000000000004,5.0," Now when we're actually creating objects of type coordinate, we only pass in parameters"
