start,duration,text
0.0,20.52, So let's start today's lecture.
20.52,4.32, Today we're going to be talking about the idea of iteration and iteration is another way
24.84,9.000000000000004," we're going to add control flow to our programs. But before we do that, let's do a little bit of a recap on,"
33.84,5.0," sorry, let's do a little bit of a recap of what we've done so far last lecture."
38.84,5.0," Because last lecture we actually introduced a different mechanism for control flow, branching."
43.84,6.0, And the control flow was basically a way for us to tell Python not to go systematically through the code.
49.84,6.0," Branching was a way for us to tell Python, hey, based on some condition being true or false,"
55.84,5.0," either evaluate some set of code or another set of code, right, which was not going linearly,"
60.84,3.0, we were actually kind of skipping around through the code.
63.84,6.0, So that's what we learned at the end of the lecture. But we also learned about input and output.
69.84,5.0," So a way for us to write interactive programs. And we learned about a new data type, the string."
74.84,13.0, So the string was a sequence of characters. Hopefully you got a chance to do a little bit of exercises on MITX as practice for today's quiz with quizzes with strings and branching.
87.84,7.0," Okay, so in branching, what did we learn? We talked about how to actually add a branching point in our program."
94.84,5.0," So we did that using these particular keywords. So when you type them in your program in the file editor,"
99.84,5.0, you'll see that they kind of turn a different color that tells you it's a special word in Python.
104.84,6.0, And these keywords are how we told Python to put a branching point.
110.84,13.0, And the colon kind of ended the branching conditional. And then anything that was indented as part of that conditional was code that would be executed when that condition was true.
124.84,8.0, So I'm just going to quickly go over these each one of these boxes. So the first one up here was the simplest way that we could add a conditional to our program.
132.84,13.0," It basically said, hey, go through the program. When you reach this if condition, Python would check the condition and say, if that condition is true, execute the code that's indented as part of that block."
145.84,6.0," If the condition was not true, don't do anything. Just carry on with a remaining program."
151.84,7.0," If we wanted to do something else, so if the condition was not true, if we wanted to do something else, we added this else clause here."
158.84,11.0, And the else also has some sort of code indented as part of its code block. And that code would be executed when that condition was false.
169.84,9.0," Okay. So that was a really simple if or if else code structure. But sometimes we want to have code that checks for many conditions, right? Not just one."
178.84,12.0," That's where the LIF structure came in. So we would have an if condition that starts our code block. If that condition was true, as usual, we execute the code that's part of that block."
190.84,8.0," Else if, so LIF, we could insert another condition. And Python would say, okay, well, if that one wasn't true, let me check if this next one is true."
198.84,7.0," And then we would execute the code that's part of that code block. And we can add, we can chain as many of these LIFs as we want together."
205.84,9.0, And Python will evaluate the very first one that it finds true that's part of this chain. Okay. Even if more than one is true.
214.84,9.0, It is possible none of those conditions were true in which case Python would basically skip over all of them and do nothing and turn none of those code blocks.
224.84,11.0," If you wanted to have a structure where if none of those conditions were true, you wanted to do something. You could put an else at the end of a whole chain of if LIF, LIF, LIFs."
235.84,7.0, And the else would be executed when none of those conditions are true. Okay. So hopefully this is just recap.
243.84,12.0," One sort of tricky thing to remember is the if starts a code block. So the if can have an else associated with it or it can have an LIF, LIF, LIF, and an else associated with it."
255.84,9.000000000000028," But if you have if condition and then followed by another if condition, both of those code blocks could potentially be executed because the ifs are independent, right?"
264.84000000000003,7.0, It's not an else situation. They're just another if code block that that gets started.
271.84,10.0, So the way we told Python again just to reiterate the way you told Python which code to execute when the condition is true is by indentation and indentation is something you have to do.
281.84,7.0, It's not optional in Python. Okay. So let's take what we've learned so far and code up a really simple game.
288.84,11.0," So this is sort of a very simple variation of the lost woods in Zelda, sort of my version of it. Let's say it's kind of a trick level where you have your character and they enter the lost woods."
299.84,12.0," They're presented with this screen. And the trick here is you ask the user if they want to go left or right. If they say right, you're basically going to present them with the exact same screen all over again."
311.84,11.0," So it's kind of representing that they're lost in the woods. And as long as they say I want to keep going right, I want to keep going right, I want to keep going right, they're basically going to see the same screen over and over again."
322.84,13.0," And the trick to getting out of the woods is to say I want to go left. Okay. So no matter how far, how many times they said right in a row, as long as they type in left, they're out of the woods."
335.84,13.0," Okay. So let's try to code that up with what we know, just conditionals. We have an if else, right. The if says if the user exits right, we're going to do something."
348.84,8.0, And otherwise we're going to say that the user said left or something else or exit and we're going to tell them that they've exited successfully.
356.84,13.0," All right. Now if they said exit right, what do we do? Well, we're going to show them the exact same thing again. So we're setting the background to the same woods background. And then the presented with a choice all over again, right. Do you want to exit right or you want to exit left."
369.84,16.0," So if they say exit right, we would do something. And otherwise we would tell them they were they successfully exit it. Okay. Well, what if they exit it right. If they exit it right, then we would do something again, basically present them with the same situation."
385.84,9.0," So we would set the woods background again. And we would ask them if they want to go right or left again. And otherwise if they said left, they exit."
394.84,11.0," So we already see a problem, right. How deep do we make this nested loop situation, right. Here we already have three in case the user said I want to go right three times in a row."
405.84,8.0," But we don't know how persistent the user will be. So how do we know when we're writing our code, how deep to make this nested loop."
413.84,9.0, We don't. Right. We won't be able to really code this up very well with what we know so far. And so that's kind of the motivation for introducing iteration.
422.84,8.0, Because the situation on the previous slide fits really well with some task we want to repeat multiple times as long as some condition is true.
