start,duration,text
0.0,12.8, All right.
12.8,1.0, Welcome everyone.
13.8,6.68," So in case you missed last lecture, I've got some extra debugging ducks that were left"
20.48,4.440000000000001, over from last lecture's debugging lecture.
24.92,1.0, Please take them home.
25.92,3.5599999999999987, I don't want to have to take them back to my office and then bring them back.
29.48,1.0, So many times.
30.48,2.4400000000000013, So please give them a good home.
32.92,8.519999999999996," If you find them useful in your debugging strategy throughout your programming careers, I suggest"
41.44,3.440000000000005, you upgrade to carrying a debugging duck with you everywhere.
44.88,3.4399999999999977," As I have on my phone, I use it in my day-to-day life."
48.32,4.719999999999999, So that's just the next step beyond an actual duck.
53.04,1.000000000000007, All right.
54.04,2.3599999999999994, Let's get started on today's lecture.
56.4,6.520000000000003, We will be going over the idea of exceptions and assertions.
62.92,7.3999999999999915, And these are basically those scary red errors that we get when our program crashes.
70.32,5.0800000000000125, Today's lecture will hopefully shed some light on exactly what these exceptions are and
75.4,3.239999999999995, how we can actually use them to our advantage in our code.
78.64,4.679999999999993, So let's start by talking about exceptions.
83.32,6.480000000000004," So when you run your code, usually it runs without error, produces the right output all"
89.8,1.8799999999999955," the time, like mine does."
91.67999999999999,6.560000000000002," But sometimes, it so happens that your code hits an unexpected condition."
98.24,5.659999999999997," And when that unexpected condition is run, you get an exception to something that was"
103.89999999999999,1.0, expected.
104.89999999999999,4.260000000000005, So we've already seen a bunch of different exception examples.
109.16,2.519999999999996," So we talked, we even talked about a couple of these last lectures."
111.68,4.040000000000006, So we've got index errors where you index too far into some list.
115.72000000000001,4.920000000000002, Type errors where you're doing funky things with types that Python doesn't like.
120.64000000000001,3.319999999999993," Syntax errors are also exceptions, name errors are also exceptions."
123.96000000000001,5.280000000000001, So a bunch of these errors that we've encountered are types of exceptions.
129.24,7.52000000000001," So it turns out so far in our programming experience that whenever we get an exception,"
136.76000000000002,1.8799999999999955, the programming immediately crashes.
138.64,3.4799999999999898," And really, we don't have any way to handle these exceptions."
142.11999999999998,4.640000000000015, We just accept the fact that it crashed and we go back to the debugging board.
146.76,5.560000000000002," But it turns out that in Python, we can actually write code to handle these exceptions."
152.32,6.680000000000007," So if your code does happen to throw an exception, so an error occurs or something unexpected happens,"
159.0,4.119999999999976, you can write code that deals with that situation.
163.12,5.360000000000014," And either decides to ignore the fact that an error occurred, set some default values,"
